time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	21.1504	0.392181	29.627799999999993
1	2.71271e-06	6.23343e-06	21.1504	0.392181	29.627799999999993
2	6.23343e-06	1.08029e-05	21.1504	1.28128	29.627799999999993
3	1.08029e-05	1.67334e-05	21.1504	16.334	29.627799999999993
4	1.67334e-05	2.44304e-05	46.696920000000006	52.6091	44.53424
5	2.44304e-05	3.44201e-05	148.88300000000004	72.7717	104.15999999999998
6	3.44201e-05	4.73853e-05	117.48520000000002	65.0621	79.81218000000001
7	4.73853e-05	6.42125e-05	106.53139999999998	63.6147	68.89076
8	6.42125e-05	8.60519e-05	116.82379999999998	79.3314	71.78165999999999
9	8.60519e-05	0.000114397	147.1673	112.943	90.76528999999998
10	0.000114397	0.000151184	190.1883	166.0	138.4234
11	0.000151184	0.000198929	244.4975	236.901	211.02449999999993
12	0.000198929	0.000260896	315.76380000000006	316.345	300.079
13	0.000260896	0.000341321	391.8501999999999	394.438	381.80180000000007
14	0.000341321	0.000445702	465.8145999999999	468.809	455.86819999999994
15	0.000445702	0.000581173	537.715	543.597	528.921
16	0.000581173	0.000756998	616.35	619.625	609.4906
17	0.000756998	0.000985194	690.3771999999998	696.003	682.7111999999998
18	0.000985194	0.00128136	770.5608000000001	770.873	761.8372999999999
19	0.00128136	0.00166575	847.5215000000001	841.08	845.0410999999999
20	0.00166575	0.00216463	892.794	896.388	909.1244999999998
21	0.00216463	0.00281211	891.0876000000001	906.196	929.5393999999998
22	0.00281211	0.00365246	821.1931999999999	838.561	875.1841999999998
23	0.00365246	0.00474311	660.1386000000001	689.179	714.4924999999998
24	0.00474311	0.00615864	469.6208999999999	492.691	512.2484
25	0.00615864	0.0079958	302.41200000000003	312.488	327.32400000000007
26	0.0079958	0.0103802	189.52519999999998	191.035	197.64500000000004
27	0.0103802	0.0134748	128.77639999999997	117.628	126.08030000000004
28	0.0134748	0.0174912	104.19399999999997	117.628	97.66329999999998
29	0.0174912	0.0227039	105.38520000000001	94.81	102.28878000000002
30	0.0227039	0.0294694	107.17200000000003	94.81	109.22700000000003
31	0.0294694	inf	107.172	94.81	109.227
