time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	1055.06	0.392161	12.064799999999998
1	2.71271e-06	6.23343e-06	1055.06	0.392161	12.064799999999998
2	6.23343e-06	1.08029e-05	1055.06	85.8553	12.064799999999998
3	1.08029e-05	1.67334e-05	1055.06	371.402	12.064799999999998
4	1.67334e-05	2.44304e-05	1174.0159999999998	474.256	30.25604
5	2.44304e-05	3.44201e-05	1649.8399999999995	372.527	103.02099999999997
6	3.44201e-05	4.73853e-05	1039.9503	281.337	103.61179999999999
7	4.73853e-05	6.42125e-05	723.9497999999999	253.964	106.13820000000001
8	6.42125e-05	8.60519e-05	647.8137999999999	269.312	115.23400000000001
9	8.60519e-05	0.000114397	678.6560000000001	318.909	143.81759999999997
10	0.000114397	0.000151184	755.0884000000001	395.531	203.4649
11	0.000151184	0.000198929	828.6794000000002	481.339	273.93879999999996
12	0.000198929	0.000260896	906.3904	565.696	346.88499999999993
13	0.000260896	0.000341321	982.3200000000002	639.389	419.00019999999995
14	0.000341321	0.000445702	1046.24	698.475	492.0546000000001
15	0.000445702	0.000581173	1091.35	743.455	563.628
16	0.000581173	0.000756998	1114.0449999999998	774.874	636.9394
17	0.000756998	0.000985194	1113.5400000000002	798.759	698.495
18	0.000985194	0.00128136	1101.039	823.792	759.7402
19	0.00128136	0.00166575	1076.73	853.881	815.8284999999998
20	0.00166575	0.00216463	1028.535	881.801	845.1244999999999
21	0.00216463	0.00281211	945.7880000000001	876.769	834.0804000000002
22	0.00281211	0.00365246	805.6232000000001	796.267	758.7171999999998
23	0.00365246	0.00474311	606.448	638.739	605.3386
24	0.00474311	0.00615864	412.7566	449.473	438.0226
25	0.00615864	0.0079958	255.73949999999996	285.148	292.8204999999999
26	0.0079958	0.0103802	157.7457	178.387	192.9546
27	0.0103802	0.0134748	110.48819999999998	116.643	137.07630000000003
28	0.0134748	0.0174912	103.07699999999998	116.643	112.748
29	0.0174912	0.0227039	122.12659999999998	105.032	115.35520000000002
30	0.0227039	0.0294694	150.701	105.032	119.26600000000002
31	0.0294694	inf	150.701	105.032	119.266
