time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	409.37000000000006	1.21796	854.366
1	2.71271e-06	6.23343e-06	409.37000000000006	1.21796	854.366
2	6.23343e-06	1.08029e-05	409.37000000000006	234.767	854.366
3	1.08029e-05	1.67334e-05	409.37000000000006	474.243	854.366
4	1.67334e-05	2.44304e-05	421.30120000000005	498.241	915.1987999999999
5	2.44304e-05	3.44201e-05	469.026	422.858	1158.53
6	3.44201e-05	4.73853e-05	416.5085	394.004	789.4409999999998
7	4.73853e-05	6.42125e-05	419.07700000000006	424.571	603.0679999999999
8	6.42125e-05	8.60519e-05	475.07380000000006	489.993	570.9239999999999
9	8.60519e-05	0.000114397	558.7308	571.833	619.4921999999999
10	0.000114397	0.000151184	658.6212000000002	664.277	698.4216
11	0.000151184	0.000198929	745.0590000000001	749.443	767.8435000000001
12	0.000198929	0.000260896	828.3908	827.917	840.3358
13	0.000260896	0.000341321	906.8203	905.831	918.7923999999998
14	0.000341321	0.000445702	969.7369999999999	971.919	982.639
15	0.000445702	0.000581173	1007.8699999999999	1014.62	1020.695
16	0.000581173	0.000756998	1019.963	1028.58	1034.9739999999997
17	0.000756998	0.000985194	1012.8080000000002	1021.9	1031.0479999999998
18	0.000985194	0.00128136	997.7442000000001	1009.0	1021.95
19	0.00128136	0.00166575	975.7813000000001	993.066	1007.6405
20	0.00166575	0.00216463	936.6174999999998	960.468	976.895
21	0.00216463	0.00281211	864.5970000000002	887.594	917.2747999999999
22	0.00281211	0.00365246	739.4862	762.187	803.1648000000002
23	0.00365246	0.00474311	567.5425	598.848	629.9616000000001
24	0.00474311	0.00615864	410.88429999999994	428.907	453.8646
25	0.00615864	0.0079958	282.03749999999997	283.097	298.15049999999997
26	0.0079958	0.0103802	188.57710000000003	181.298	188.78410000000002
27	0.0103802	0.0134748	129.394	115.51	127.80460000000004
28	0.0134748	0.0174912	103.51200000000001	115.51	100.518
29	0.0174912	0.0227039	123.39999999999999	142.947	122.792
30	0.0227039	0.0294694	153.23199999999997	142.947	156.20299999999997
31	0.0294694	inf	153.232	142.947	156.203
