time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	406.38399999999996	7.31625	52.6258
1	2.71271e-06	6.23343e-06	406.38399999999996	7.31625	52.6258
2	6.23343e-06	1.08029e-05	406.38399999999996	131.325	52.6258
3	1.08029e-05	1.67334e-05	406.38399999999996	123.611	52.6258
4	1.67334e-05	2.44304e-05	423.60499999999996	125.891	51.21476
5	2.44304e-05	3.44201e-05	492.489	106.278	45.5706
6	3.44201e-05	4.73853e-05	417.7787000000001	91.5957	70.93573
7	4.73853e-05	6.42125e-05	411.4724	98.7104	110.84349999999998
8	6.42125e-05	8.60519e-05	469.6638	123.12	176.0712
9	8.60519e-05	0.000114397	556.8792	163.045	278.49320000000006
10	0.000114397	0.000151184	643.3917	228.153	438.9913
11	0.000151184	0.000198929	723.4784000000001	317.041	622.9347
12	0.000198929	0.000260896	812.8768000000001	399.405	754.1896
13	0.000260896	0.000341321	898.0385999999999	454.553	773.8577
14	0.000341321	0.000445702	963.4496000000001	495.706	749.9770000000001
15	0.000445702	0.000581173	998.7715000000001	536.782	737.9369999999998
16	0.000581173	0.000756998	1004.6280000000002	584.522	752.3943999999999
17	0.000756998	0.000985194	995.8608000000003	645.225	786.5723999999998
18	0.000985194	0.00128136	991.7112	722.884	834.9228999999999
19	0.00128136	0.00166575	991.7463000000001	815.545	882.2467000000001
20	0.00166575	0.00216463	971.7044999999999	907.69	897.1430000000001
21	0.00216463	0.00281211	910.6027999999998	957.97	863.2588
22	0.00281211	0.00365246	786.9532	906.977	763.4076
23	0.00365246	0.00474311	609.9148	739.103	602.7746999999999
24	0.00474311	0.00615864	446.683	522.596	449.2749
25	0.00615864	0.0079958	311.33000000000004	337.919	319.03950000000003
26	0.0079958	0.0103802	219.86910000000006	226.579	225.58210000000005
27	0.0103802	0.0134748	178.67190000000005	261.811	175.52499999999998
28	0.0134748	0.0174912	363.8389999999999	261.811	214.56199999999998
29	0.0174912	0.0227039	221.005292	10.5964	133.61099999999996
30	0.0227039	0.0294694	6.754730000000001	10.5964	12.184500000000002
31	0.0294694	inf	6.75473	10.5964	12.1845
