time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	42.98769999999998	0.39218	841.6769999999998
1	2.71271e-06	6.23343e-06	42.98769999999998	0.39218	841.6769999999998
2	6.23343e-06	1.08029e-05	42.98769999999998	124.753	841.6769999999998
3	1.08029e-05	1.67334e-05	42.98769999999998	280.295	841.6769999999998
4	1.67334e-05	2.44304e-05	45.074699999999986	323.334	917.6595999999998
5	2.44304e-05	3.44201e-05	53.4227	236.314	1221.5900000000001
6	3.44201e-05	4.73853e-05	77.23999	161.747	802.8520999999998
7	4.73853e-05	6.42125e-05	113.53364	131.296	588.6321999999999
8	6.42125e-05	8.60519e-05	172.42419999999998	137.214	548.1601999999999
9	8.60519e-05	0.000114397	267.29789999999997	170.872	603.5932
10	0.000114397	0.000151184	429.3575	235.707	689.6187000000002
11	0.000151184	0.000198929	619.6198	323.471	760.9737000000001
12	0.000198929	0.000260896	750.5248	402.58	832.7294
13	0.000260896	0.000341321	767.95	457.637	910.4875
14	0.000341321	0.000445702	744.8471999999999	498.666	976.7819999999998
15	0.000445702	0.000581173	738.0589999999999	541.915	1018.06
16	0.000581173	0.000756998	759.9364999999999	592.225	1037.6750000000002
17	0.000756998	0.000985194	799.0262000000001	654.381	1043.4700000000003
18	0.000985194	0.00128136	852.275	735.803	1052.1729999999998
19	0.00128136	0.00166575	906.4285999999997	839.902	1066.309
20	0.00166575	0.00216463	926.3649999999999	949.509	1060.9950000000001
21	0.00216463	0.00281211	891.9550000000002	1007.8	1011.0428000000002
22	0.00281211	0.00365246	784.4558000000003	951.414	888.1811999999998
23	0.00365246	0.00474311	609.0088999999999	772.941	689.7117999999999
24	0.00474311	0.00615864	440.3549000000001	538.864	490.1437000000001
25	0.00615864	0.0079958	300.53000000000003	329.817	317.23699999999997
26	0.0079958	0.0103802	200.52740000000003	191.436	196.6861
27	0.0103802	0.0134748	140.2271	111.6	129.0304
28	0.0134748	0.0174912	117.72099999999998	111.6	102.88299999999998
29	0.0174912	0.0227039	143.0626	147.618	141.47740000000002
30	0.0227039	0.0294694	181.07499999999996	147.618	199.36900000000006
31	0.0294694	inf	181.075	147.618	199.369
