time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	3743.3399999999992	301.346	544.049
1	2.71271e-06	6.23343e-06	3743.3399999999992	301.346	544.049
2	6.23343e-06	1.08029e-05	3743.3399999999992	1366.07	544.049
3	1.08029e-05	1.67334e-05	3743.3399999999992	1247.97	544.049
4	1.67334e-05	2.44304e-05	3305.0559999999996	842.77	555.7669999999999
5	2.44304e-05	3.44201e-05	1551.92	548.257	602.639
6	3.44201e-05	4.73853e-05	970.9858000000003	424.221	484.6078000000001
7	4.73853e-05	6.42125e-05	662.8660000000001	416.605	451.1242
8	6.42125e-05	8.60519e-05	575.9998	470.84	492.32699999999994
9	8.60519e-05	0.000114397	588.4224000000002	542.491	562.4781
10	0.000114397	0.000151184	641.3752	621.164	642.7742
11	0.000151184	0.000198929	721.1622	713.505	731.1781000000002
12	0.000198929	0.000260896	806.3530000000001	811.311	834.4169999999998
13	0.000260896	0.000341321	865.9913	894.621	928.1021000000001
14	0.000341321	0.000445702	907.9459999999998	952.018	992.0891999999998
15	0.000445702	0.000581173	933.0564999999998	977.554	1017.8299999999998
16	0.000581173	0.000756998	938.7108999999998	977.033	1015.6409999999998
17	0.000756998	0.000985194	933.6523999999998	968.408	1004.9179999999998
18	0.000985194	0.00128136	931.7071000000002	963.72	994.7928000000002
19	0.00128136	0.00166575	934.4849000000002	958.643	977.0845999999999
20	0.00166575	0.00216463	924.3875	935.787	935.9785000000002
21	0.00216463	0.00281211	879.2309999999998	871.905	864.4020000000002
22	0.00281211	0.00365246	777.901	758.863	745.4415999999999
23	0.00365246	0.00474311	614.8223	607.191	584.4826
24	0.00474311	0.00615864	445.5836000000001	443.866	435.21250000000003
25	0.00615864	0.0079958	296.45249999999993	301.103	306.60949999999997
26	0.0079958	0.0103802	189.15340000000003	198.871	210.84700000000007
27	0.0103802	0.0134748	127.72660000000002	131.919	152.05240000000003
28	0.0134748	0.0174912	103.54100000000001	131.919	121.884
29	0.0174912	0.0227039	92.61447999999999	61.5471	96.44967999999999
30	0.0227039	0.0294694	76.22469999999998	61.5471	58.29819999999999
31	0.0294694	inf	76.2247	61.5471	58.2982
