time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	26.2331	71.6059	530.41
1	2.71271e-06	6.23343e-06	26.2331	71.6059	530.41
2	6.23343e-06	1.08029e-05	26.2331	99.389	530.41
3	1.08029e-05	1.67334e-05	26.2331	141.516	530.41
4	1.67334e-05	2.44304e-05	52.89748	176.205	544.1504
5	2.44304e-05	3.44201e-05	159.555	168.687	599.112
6	3.44201e-05	4.73853e-05	119.21399999999997	157.625	497.9704
7	4.73853e-05	6.42125e-05	107.67019999999998	167.622	465.7955999999999
8	6.42125e-05	8.60519e-05	122.39380000000001	199.399	496.03959999999995
9	8.60519e-05	0.000114397	150.83500000000004	248.763	557.8841
10	0.000114397	0.000151184	192.72110000000004	311.564	637.826
11	0.000151184	0.000198929	250.7772	387.426	727.1438
12	0.000198929	0.000260896	323.1058	475.279	832.0067999999999
13	0.000260896	0.000341321	397.019	559.714	927.5400999999999
14	0.000341321	0.000445702	470.1158	622.384	990.7365999999998
15	0.000445702	0.000581173	542.047	664.158	1012.3449999999998
16	0.000581173	0.000756998	618.6500000000001	695.442	1003.2517000000003
17	0.000756998	0.000985194	686.2608	724.738	986.3142000000001
18	0.000985194	0.00128136	751.1433999999999	757.748	973.2821999999996
19	0.00128136	0.00166575	803.9040999999999	798.174	962.0355000000001
20	0.00166575	0.00216463	825.9064999999999	837.927	935.8165000000001
21	0.00216463	0.00281211	809.3841999999999	843.85	877.9002
22	0.00281211	0.00365246	739.8425999999998	783.775	765.7042000000001
23	0.00365246	0.00474311	604.7975	651.975	598.0020999999999
24	0.00474311	0.00615864	450.23090000000013	477.923	435.5398
25	0.00615864	0.0079958	309.27350000000007	315.354	297.78049999999996
26	0.0079958	0.0103802	207.9697	203.576	201.24280000000005
27	0.0103802	0.0134748	150.73600000000002	140.181	147.9229
28	0.0134748	0.0174912	130.433	140.181	128.72600000000003
29	0.0174912	0.0227039	109.08188000000001	73.469	97.71756000000002
30	0.0227039	0.0294694	77.05520000000001	73.469	51.20490000000001
31	0.0294694	inf	77.0552	73.469	51.2049
