time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	1097.6	0.392174	903.5130000000003
1	2.71271e-06	6.23343e-06	1097.6	0.392174	903.5130000000003
2	6.23343e-06	1.08029e-05	1097.6	238.734	903.5130000000003
3	1.08029e-05	1.67334e-05	1097.6	793.873	903.5130000000003
4	1.67334e-05	2.44304e-05	1203.634	867.856	952.2344000000002
5	2.44304e-05	3.44201e-05	1627.7700000000002	647.997	1147.12
6	3.44201e-05	4.73853e-05	1027.2869	517.376	786.6067
7	4.73853e-05	6.42125e-05	719.0514	490.993	598.7742000000001
8	6.42125e-05	8.60519e-05	649.4527999999999	527.959	558.7554
9	8.60519e-05	0.000114397	684.1451999999999	610.045	607.559
10	0.000114397	0.000151184	761.2769	709.013	695.6378
11	0.000151184	0.000198929	832.607	795.911	772.6085999999999
12	0.000198929	0.000260896	906.9691999999999	873.342	846.8089999999999
13	0.000260896	0.000341321	979.4017999999998	947.906	925.3554999999997
14	0.000341321	0.000445702	1045.8	1014.55	990.4280000000001
15	0.000445702	0.000581173	1100.7450000000001	1066.69	1031.14
16	0.000581173	0.000756998	1138.566	1096.43	1052.379
17	0.000756998	0.000985194	1148.752	1104.26	1058.398
18	0.000985194	0.00128136	1137.054	1096.25	1056.0710000000001
19	0.00128136	0.00166575	1103.0069999999998	1071.84	1039.0120000000002
20	0.00166575	0.00216463	1039.9500000000003	1022.96	998.544
21	0.00216463	0.00281211	944.2372000000003	935.034	928.2562000000001
22	0.00281211	0.00365246	798.1643999999999	799.085	805.9229999999999
23	0.00365246	0.00474311	608.0686	628.901	627.0749
24	0.00474311	0.00615864	430.8652000000001	449.472	447.45799999999986
25	0.00615864	0.0079958	283.9905	293.36	292.37149999999997
26	0.0079958	0.0103802	190.103	191.335	185.96159999999995
27	0.0103802	0.0134748	146.5091	134.501	125.7921
28	0.0134748	0.0174912	160.52500000000006	134.501	93.3323
29	0.0174912	0.0227039	103.50308000000004	32.0124	77.88538000000001
30	0.0227039	0.0294694	17.9702	32.0124	54.714999999999996
31	0.0294694	inf	17.9702	32.0124	54.715
