time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	21.5982	1.45494	862.287
1	2.71271e-06	6.23343e-06	21.5982	1.45494	862.287
2	6.23343e-06	1.08029e-05	21.5982	125.175	862.287
3	1.08029e-05	1.67334e-05	21.5982	282.514	862.287
4	1.67334e-05	2.44304e-05	33.99856	324.733	920.7436
5	2.44304e-05	3.44201e-05	83.6	263.513	1154.5699999999997
6	3.44201e-05	4.73853e-05	94.70487	222.042	786.1012000000003
7	4.73853e-05	6.42125e-05	102.47006000000002	212.265	594.6996
8	6.42125e-05	8.60519e-05	112.50360000000002	234.101	554.8472
9	8.60519e-05	0.000114397	140.6736	290.055	605.3641
10	0.000114397	0.000151184	202.6885	372.276	694.0421999999999
11	0.000151184	0.000198929	275.5222	459.328	769.0371000000001
12	0.000198929	0.000260896	346.6092	542.1	842.4818000000001
13	0.000260896	0.000341321	417.2882	617.209	920.3323
14	0.000341321	0.000445702	491.758	677.764	983.1840000000002
15	0.000445702	0.000581173	564.1479999999999	724.397	1017.7549999999999
16	0.000581173	0.000756998	637.0216	760.019	1029.81
17	0.000756998	0.000985194	697.9794000000002	788.552	1028.108
18	0.000985194	0.00128136	759.1823	818.014	1025.234
19	0.00128136	0.00166575	817.4	853.895	1023.655
20	0.00166575	0.00216463	850.4474999999999	887.063	1007.1319999999998
21	0.00216463	0.00281211	842.3909999999998	884.343	957.9533999999998
22	0.00281211	0.00365246	770.1018	807.813	849.0465999999997
23	0.00365246	0.00474311	619.6026999999999	658.45	669.4165
24	0.00474311	0.00615864	452.9089	474.219	477.99550000000005
25	0.00615864	0.0079958	305.062	304.633	306.09950000000003
26	0.0079958	0.0103802	202.07389999999995	190.378	185.83690000000007
27	0.0103802	0.0134748	145.6889	125.898	119.59989999999999
28	0.0134748	0.0174912	124.443	125.898	90.2561
29	0.0174912	0.0227039	147.2358	153.758	95.93606
30	0.0227039	0.0294694	181.42500000000004	153.758	104.456
31	0.0294694	inf	181.425	153.758	104.456
