time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	425.91	272.678	3674.969999999999
1	2.71271e-06	6.23343e-06	425.91	272.678	3674.969999999999
2	6.23343e-06	1.08029e-05	425.91	1324.19	3674.969999999999
3	1.08029e-05	1.67334e-05	425.91	1278.2	3674.969999999999
4	1.67334e-05	2.44304e-05	437.8046	874.691	3247.733999999999
5	2.44304e-05	3.44201e-05	485.383	565.652	1538.7899999999997
6	3.44201e-05	4.73853e-05	423.81449999999995	435.194	960.2148000000002
7	4.73853e-05	6.42125e-05	421.25399999999996	419.674	655.2548
8	6.42125e-05	8.60519e-05	475.3652	470.182	572.7657999999999
9	8.60519e-05	0.000114397	558.5566	546.431	590.1456
10	0.000114397	0.000151184	654.8078999999998	630.783	646.5906
11	0.000151184	0.000198929	743.4899	721.028	730.158
12	0.000198929	0.000260896	833.7988000000001	807.354	813.8118000000001
13	0.000260896	0.000341321	913.956	883.53	865.26
14	0.000341321	0.000445702	973.6932000000002	940.439	900.5578
15	0.000445702	0.000581173	1004.0200000000001	967.697	925.7440000000001
16	0.000581173	0.000756998	1006.2709999999997	966.899	933.7968999999998
17	0.000756998	0.000985194	992.4028000000001	953.358	927.0236
18	0.000985194	0.00128136	974.0862999999999	944.061	921.1489999999999
19	0.00128136	0.00166575	951.9924	939.913	923.8358000000003
20	0.00166575	0.00216463	913.729	923.004	918.1154999999999
21	0.00216463	0.00281211	845.9017999999998	864.894	875.8849999999999
22	0.00281211	0.00365246	729.4930000000002	752.575	774.2378000000001
23	0.00365246	0.00474311	567.827	600.445	611.6749000000001
24	0.00474311	0.00615864	418.6553	439.395	446.0431
25	0.00615864	0.0079958	295.96049999999997	300.215	299.72399999999993
26	0.0079958	0.0103802	210.26070000000007	201.587	192.26540000000006
27	0.0103802	0.0134748	164.4879	136.837	127.60910000000001
28	0.0134748	0.0174912	203.19899999999998	136.837	96.87799999999997
29	0.0174912	0.0227039	130.19812000000002	59.1196	98.23279999999998
30	0.0227039	0.0294694	20.696799999999996	59.1196	100.265
31	0.0294694	inf	20.6968	59.1196	100.265
