time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	432.7280000000001	3.47306	125.99099999999999
1	2.71271e-06	6.23343e-06	432.7280000000001	3.47306	125.99099999999999
2	6.23343e-06	1.08029e-05	432.7280000000001	119.083	125.99099999999999
3	1.08029e-05	1.67334e-05	432.7280000000001	232.577	125.99099999999999
4	1.67334e-05	2.44304e-05	444.6094000000001	342.407	190.2376
5	2.44304e-05	3.44201e-05	492.13500000000005	353.213	447.224
6	3.44201e-05	4.73853e-05	421.84940000000006	353.917	403.6287000000001
7	4.73853e-05	6.42125e-05	420.4785999999999	408.012	426.5678
8	6.42125e-05	8.60519e-05	483.23119999999994	497.573	513.4957999999999
9	8.60519e-05	0.000114397	570.7937000000001	596.023	621.8854000000001
10	0.000114397	0.000151184	660.6717000000002	690.425	723.6108000000002
11	0.000151184	0.000198929	743.6308999999999	774.023	802.6461999999999
12	0.000198929	0.000260896	831.2088	853.409	880.8903999999999
13	0.000260896	0.000341321	910.162	932.258	960.3063999999998
14	0.000341321	0.000445702	970.2247999999998	1000.4	1030.748
15	0.000445702	0.000581173	1003.1129999999998	1042.05	1075.975
16	0.000581173	0.000756998	1005.5260000000003	1047.64	1088.341
17	0.000756998	0.000985194	987.0308000000001	1024.67	1070.4099999999999
18	0.000985194	0.00128136	963.7602999999998	992.226	1035.3469999999998
19	0.00128136	0.00166575	938.1543	959.696	990.4038999999999
20	0.00166575	0.00216463	899.5730000000001	917.332	931.7430000000002
21	0.00216463	0.00281211	836.2643999999998	843.566	850.1128
22	0.00281211	0.00365246	727.5919999999998	727.72	728.5436000000002
23	0.00365246	0.00474311	571.5926	582.516	571.6477000000001
24	0.00474311	0.00615864	423.2198000000001	434.005	426.23589999999996
25	0.00615864	0.0079958	299.13149999999996	307.019	300.7745
26	0.0079958	0.0103802	212.56250000000003	220.251	210.88289999999998
27	0.0103802	0.0134748	169.3154	212.813	167.55630000000005
28	0.0134748	0.0174912	232.799	212.813	247.612
29	0.0174912	0.0227039	143.51956399999997	16.6229	152.133156
30	0.0227039	0.0294694	9.600410000000002	16.6229	8.91489
31	0.0294694	inf	9.60041	16.6229	8.91489
