time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	194.42800000000003	40.958	125.706
1	2.71271e-06	6.23343e-06	194.42800000000003	40.958	125.706
2	6.23343e-06	1.08029e-05	194.42800000000003	71.9955	125.706
3	1.08029e-05	1.67334e-05	194.42800000000003	105.958	125.706
4	1.67334e-05	2.44304e-05	173.06498000000002	117.99	186.6998
5	2.44304e-05	3.44201e-05	87.61290000000001	107.474	430.675
6	3.44201e-05	4.73853e-05	101.12437000000003	109.46	388.9389000000001
7	4.73853e-05	6.42125e-05	111.3866	124.542	415.08200000000005
8	6.42125e-05	8.60519e-05	128.45119999999997	153.257	505.0346000000001
9	8.60519e-05	0.000114397	182.1075	196.859	610.9858
10	0.000114397	0.000151184	309.83039999999994	266.041	712.0596999999999
11	0.000151184	0.000198929	480.77029999999996	355.827	792.5915
12	0.000198929	0.000260896	591.7426	435.692	868.75
13	0.000260896	0.000341321	606.1779	493.094	948.969
14	0.000341321	0.000445702	601.9564	537.295	1023.1040000000002
15	0.000445702	0.000581173	614.2829999999999	575.94	1069.9300000000003
16	0.000581173	0.000756998	648.1777000000001	614.784	1085.273
17	0.000756998	0.000985194	693.2804	659.759	1077.0639999999999
18	0.000985194	0.00128136	749.6175000000001	717.093	1058.253
19	0.00128136	0.00166575	809.8326000000001	790.498	1029.235
20	0.00166575	0.00216463	851.5930000000002	871.521	980.0125000000002
21	0.00216463	0.00281211	854.6212000000002	921.772	903.9872000000003
22	0.00281211	0.00365246	791.3824	885.157	784.3612
23	0.00365246	0.00474311	639.9698	735.813	622.7792999999999
24	0.00474311	0.00615864	465.5843000000001	520.984	464.41829999999993
25	0.00615864	0.0079958	310.63700000000006	326.117	316.833
26	0.0079958	0.0103802	200.3553	196.707	201.48620000000003
27	0.0103802	0.0134748	135.7953	116.102	130.35110000000003
28	0.0134748	0.0174912	101.50499999999998	116.102	88.39690000000003
29	0.0174912	0.0227039	96.83955999999999	70.0909	79.95370000000003
30	0.0227039	0.0294694	89.84139999999998	70.0909	67.2889
31	0.0294694	inf	89.8414	70.0909	67.2889
