time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	3754.940000000001	316.322	604.7590000000001
1	2.71271e-06	6.23343e-06	3754.940000000001	316.322	604.7590000000001
2	6.23343e-06	1.08029e-05	3754.940000000001	1444.61	604.7590000000001
3	1.08029e-05	1.67334e-05	3754.940000000001	1333.75	604.7590000000001
4	1.67334e-05	2.44304e-05	3324.074000000001	833.844	543.9604
5	2.44304e-05	3.44201e-05	1600.6099999999994	524.286	300.766
6	3.44201e-05	4.73853e-05	979.4152999999999	405.792	308.6963
7	4.73853e-05	6.42125e-05	653.1133999999998	393.723	348.353
8	6.42125e-05	8.60519e-05	566.0636000000001	445.835	424.244
9	8.60519e-05	0.000114397	583.7886	525.972	519.1632000000001
10	0.000114397	0.000151184	641.3091999999999	610.187	606.9085
11	0.000151184	0.000198929	724.3256999999999	697.307	683.5812999999999
12	0.000198929	0.000260896	811.6388000000001	781.999	773.5876
13	0.000260896	0.000341321	867.2686000000001	855.927	862.4487999999999
14	0.000341321	0.000445702	902.5459999999999	913.279	929.9724000000001
15	0.000445702	0.000581173	926.8629999999998	945.388	963.9535
16	0.000581173	0.000756998	937.7152	953.186	969.3043000000002
17	0.000756998	0.000985194	936.3937999999998	951.663	964.7024
18	0.000985194	0.00128136	935.8709000000001	951.849	961.3004999999999
19	0.00128136	0.00166575	941.5141	952.573	956.2307999999999
20	0.00166575	0.00216463	936.7094999999999	938.363	931.8570000000002
21	0.00216463	0.00281211	895.0831999999998	884.204	873.1719999999999
22	0.00281211	0.00365246	792.0336000000001	774.884	761.9103999999999
23	0.00365246	0.00474311	621.1372	616.837	598.4495
24	0.00474311	0.00615864	445.46860000000004	444.616	440.6717000000001
25	0.00615864	0.0079958	293.31450000000007	295.833	307.4415
26	0.0079958	0.0103802	185.38920000000005	189.022	207.88970000000006
27	0.0103802	0.0134748	123.43410000000002	113.282	139.52630000000002
28	0.0134748	0.0174912	100.75100000000002	113.282	97.39940000000003
29	0.0174912	0.0227039	121.49459999999999	105.887	89.68500000000002
30	0.0227039	0.0294694	152.60999999999999	105.887	78.1134
31	0.0294694	inf	152.61	105.887	78.1134
