time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	27.434900000000006	5.33941	173.61899999999994
1	2.71271e-06	6.23343e-06	27.434900000000006	5.33941	173.61899999999994
2	6.23343e-06	1.08029e-05	27.434900000000006	22.2847	173.61899999999994
3	1.08029e-05	1.67334e-05	27.434900000000006	63.1785	173.61899999999994
4	1.67334e-05	2.44304e-05	51.539320000000004	106.935	220.63959999999994
5	2.44304e-05	3.44201e-05	147.957	130.555	408.72200000000004
6	3.44201e-05	4.73853e-05	115.81090000000002	120.813	332.8749
7	4.73853e-05	6.42125e-05	108.69040000000001	131.768	322.6482
8	6.42125e-05	8.60519e-05	124.90379999999999	170.577	377.1036
9	8.60519e-05	0.000114397	153.7147	226.915	472.2915
10	0.000114397	0.000151184	194.3153	295.485	581.0477999999999
11	0.000151184	0.000198929	250.6834	374.039	673.722
12	0.000198929	0.000260896	322.97939999999994	456.901	761.8584000000001
13	0.000260896	0.000341321	397.7441	531.069	833.9724000000002
14	0.000341321	0.000445702	470.6895999999999	591.002	884.7132
15	0.000445702	0.000581173	541.552	640.512	913.6525000000001
16	0.000581173	0.000756998	617.0839000000001	680.004	920.3183000000001
17	0.000756998	0.000985194	683.6468000000002	713.364	910.7810000000002
18	0.000985194	0.00128136	747.6857999999999	748.571	903.1700000000002
19	0.00128136	0.00166575	801.4316999999999	791.894	906.2212000000001
20	0.00166575	0.00216463	826.1680000000001	834.867	901.7185
21	0.00216463	0.00281211	812.2368000000001	843.512	866.2472
22	0.00281211	0.00365246	742.9016	782.745	772.9403999999998
23	0.00365246	0.00474311	604.2864999999999	647.379	608.5134
24	0.00474311	0.00615864	446.9398	472.079	438.41009999999994
25	0.00615864	0.0079958	305.1755	309.773	293.87600000000003
26	0.0079958	0.0103802	205.18720000000002	198.508	191.27959999999993
27	0.0103802	0.0134748	150.43269999999998	134.084	130.8128
28	0.0134748	0.0174912	133.33699999999996	134.084	103.45100000000001
29	0.0174912	0.0227039	107.29927999999998	81.7918	106.05780000000001
30	0.0227039	0.0294694	68.2427	81.7918	109.96800000000002
31	0.0294694	inf	68.2427	81.7918	109.968
