time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	1045.76	46.3373	600.0839999999998
1	2.71271e-06	6.23343e-06	1045.76	46.3373	600.0839999999998
2	6.23343e-06	1.08029e-05	1045.76	358.01	600.0839999999998
3	1.08029e-05	1.67334e-05	1045.76	724.888	600.0839999999998
4	1.67334e-05	2.44304e-05	1176.314	709.581	536.7751999999999
5	2.44304e-05	3.44201e-05	1698.5300000000004	570.179	283.5400000000001
6	3.44201e-05	4.73853e-05	1039.9350000000002	473.122	302.202
7	4.73853e-05	6.42125e-05	708.648	468.02	349.98760000000004
8	6.42125e-05	8.60519e-05	644.0444	522.08	431.3022
9	8.60519e-05	0.000114397	687.7373000000002	599.537	526.3140000000001
10	0.000114397	0.000151184	766.0720000000002	679.718	609.531
11	0.000151184	0.000198929	836.6466	760.738	679.7111
12	0.000198929	0.000260896	910.5708	845.246	769.7922000000002
13	0.000260896	0.000341321	983.8950000000001	925.847	864.0781
14	0.000341321	0.000445702	1048.6160000000002	991.983	936.3752
15	0.000445702	0.000581173	1095.66	1034.55	973.7494999999999
16	0.000581173	0.000756998	1119.9240000000002	1050.76	985.1826000000002
17	0.000756998	0.000985194	1121.7439999999997	1050.27	985.6276000000003
18	0.000985194	0.00128136	1110.4279999999999	1041.56	982.2440999999999
19	0.00128136	0.00166575	1081.393	1022.88	972.5796999999999
20	0.00166575	0.00216463	1022.6969999999999	978.378	942.2585
21	0.00216463	0.00281211	929.1224000000002	891.759	878.1876000000001
22	0.00281211	0.00365246	784.3303999999998	759.229	761.2132
23	0.00365246	0.00474311	594.5568000000001	592.247	587.6715999999999
24	0.00474311	0.00615864	416.19179999999994	419.059	418.1449
25	0.00615864	0.0079958	267.9205	273.809	278.72249999999997
26	0.0079958	0.0103802	171.36240000000004	176.769	183.0872
27	0.0103802	0.0134748	123.82260000000002	120.947	129.19609999999997
28	0.0134748	0.0174912	116.70699999999998	120.947	111.057
29	0.0174912	0.0227039	105.68364000000001	96.3763	111.56980000000003
30	0.0227039	0.0294694	89.14860000000003	96.3763	112.33900000000003
31	0.0294694	inf	89.1486	96.3763	112.339
