time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	200.188	248.251	3782.330000000001
1	2.71271e-06	6.23343e-06	200.188	248.251	3782.330000000001
2	6.23343e-06	1.08029e-05	200.188	1296.94	3782.330000000001
3	1.08029e-05	1.67334e-05	200.188	1221.14	3782.330000000001
4	1.67334e-05	2.44304e-05	172.5041	866.014	3354.7480000000005
5	2.44304e-05	3.44201e-05	61.76850000000001	507.665	1644.42
6	3.44201e-05	4.73853e-05	70.34231	302.047	1005.9927000000002
7	4.73853e-05	6.42125e-05	85.40607999999999	210.229	662.5626000000001
8	6.42125e-05	8.60519e-05	117.97479999999997	190.414	559.1894
9	8.60519e-05	0.000114397	192.0049	214.415	570.0911999999998
10	0.000114397	0.000151184	315.9297	265.812	628.5912
11	0.000151184	0.000198929	463.33490000000006	344.236	719.7134999999998
12	0.000198929	0.000260896	573.6754	420.549	810.1810000000002
13	0.000260896	0.000341321	601.3472999999999	471.339	863.9156000000002
14	0.000341321	0.000445702	595.6804000000001	510.463	897.7889999999999
15	0.000445702	0.000581173	600.8595000000001	553.137	919.6454999999999
16	0.000581173	0.000756998	634.2387	601.186	926.7635999999999
17	0.000756998	0.000985194	684.4144000000001	656.583	923.6542000000001
18	0.000985194	0.00128136	747.4203	722.247	927.2589
19	0.00128136	0.00166575	813.2905000000001	798.588	950.0781999999999
20	0.00166575	0.00216463	857.088	876.024	972.6389999999999
21	0.00216463	0.00281211	856.6558	918.922	957.2724
22	0.00281211	0.00365246	782.9330000000002	874.678	867.9028
23	0.00365246	0.00474311	622.4845999999999	724.082	681.7599000000001
24	0.00474311	0.00615864	451.08079999999995	513.831	473.8674000000001
25	0.00615864	0.0079958	304.47999999999996	320.571	301.173
26	0.0079958	0.0103802	200.8074	194.013	191.60039999999992
27	0.0103802	0.0134748	139.36110000000002	118.33	135.07080000000002
28	0.0134748	0.0174912	110.16899999999998	118.33	107.95900000000002
29	0.0174912	0.0227039	125.96180000000003	108.978	86.06844000000002
30	0.0227039	0.0294694	149.65100000000004	108.978	53.232599999999984
31	0.0294694	inf	149.651	108.978	53.2326
