time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	12.4155	53.7624	644.13
1	2.71271e-06	6.23343e-06	12.4155	53.7624	644.13
2	6.23343e-06	1.08029e-05	12.4155	201.602	644.13
3	1.08029e-05	1.67334e-05	12.4155	203.771	644.13
4	1.67334e-05	2.44304e-05	33.0252	134.544	571.7525999999999
5	2.44304e-05	3.44201e-05	115.46400000000003	118.929	282.243
6	3.44201e-05	4.73853e-05	114.65480000000004	133.546	298.15259999999995
7	4.73853e-05	6.42125e-05	112.09200000000003	166.392	347.96819999999997
8	6.42125e-05	8.60519e-05	113.4244	214.366	433.53659999999996
9	8.60519e-05	0.000114397	138.0259	278.038	525.4741999999999
10	0.000114397	0.000151184	199.39080000000004	354.104	601.3552999999999
11	0.000151184	0.000198929	274.376	439.031	673.5524
12	0.000198929	0.000260896	347.9110000000001	525.159	770.4149999999998
13	0.000260896	0.000341321	418.90620000000007	603.809	866.9371
14	0.000341321	0.000445702	491.12500000000006	664.449	933.4807999999998
15	0.000445702	0.000581173	560.5535	706.956	959.8909999999996
16	0.000581173	0.000756998	630.7908	737.884	958.0238999999998
17	0.000756998	0.000985194	690.1246000000001	766.2	951.6292000000001
18	0.000985194	0.00128136	750.4364	798.654	952.7864999999997
19	0.00128136	0.00166575	808.9101000000002	836.377	957.632
20	0.00166575	0.00216463	841.8870000000002	867.49	945.7939999999998
21	0.00216463	0.00281211	833.2490000000001	862.21	900.1468000000001
22	0.00281211	0.00365246	762.4757999999999	789.139	797.4752000000002
23	0.00365246	0.00474311	615.7712	643.279	628.5236
24	0.00474311	0.00615864	453.71539999999993	467.699	457.262
25	0.00615864	0.0079958	309.79449999999997	310.643	313.357
26	0.0079958	0.0103802	206.86139999999995	200.392	213.51840000000004
27	0.0103802	0.0134748	149.73839999999998	131.599	156.9249
28	0.0134748	0.0174912	127.28700000000002	131.599	132.133
29	0.0174912	0.0227039	111.69787999999998	83.5714	91.30024000000002
30	0.0227039	0.0294694	88.31419999999999	83.5714	30.051100000000005
31	0.0294694	inf	88.3142	83.5714	30.0511
