time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	320.888	42.9034	438.0689999999999
1	2.71271e-06	6.23343e-06	320.888	42.9034	438.0689999999999
2	6.23343e-06	1.08029e-05	320.888	142.211	438.0689999999999
3	1.08029e-05	1.67334e-05	320.888	265.755	438.0689999999999
4	1.67334e-05	2.44304e-05	424.6954	410.111	471.0889999999999
5	2.44304e-05	3.44201e-05	839.9249999999998	437.313	603.169
6	3.44201e-05	4.73853e-05	629.9761000000001	415.487	499.25540000000007
7	4.73853e-05	6.42125e-05	529.2316000000001	423.019	468.22499999999997
8	6.42125e-05	8.60519e-05	525.7324	483.139	503.7989999999999
9	8.60519e-05	0.000114397	585.3679999999999	571.474	573.2139999999999
10	0.000114397	0.000151184	676.0621000000001	664.216	654.8231999999999
11	0.000151184	0.000198929	769.4984999999999	758.942	738.2659000000001
12	0.000198929	0.000260896	865.7890000000001	852.353	831.6726
13	0.000260896	0.000341321	946.8496999999999	936.535	919.5619999999998
14	0.000341321	0.000445702	1003.1803999999998	1001.82	990.2109999999999
15	0.000445702	0.000581173	1033.27	1037.31	1030.8700000000001
16	0.000581173	0.000756998	1040.354	1044.28	1042.6710000000003
17	0.000756998	0.000985194	1029.366	1031.38	1030.9859999999999
18	0.000985194	0.00128136	1013.6869999999999	1013.98	1007.3176999999998
19	0.00128136	0.00166575	995.2468999999999	995.068	978.9377999999999
20	0.00166575	0.00216463	959.3855	956.088	934.2734999999999
21	0.00216463	0.00281211	895.1836	878.779	860.9
22	0.00281211	0.00365246	780.542	756.206	740.7624
23	0.00365246	0.00474311	608.5086	599.934	578.1524
24	0.00474311	0.00615864	432.06749999999994	432.907	424.41140000000007
25	0.00615864	0.0079958	277.58299999999997	283.026	291.2749999999999
26	0.0079958	0.0103802	170.9848	179.18	198.50060000000002
27	0.0103802	0.0134748	113.71630000000002	117.399	151.4591
28	0.0134748	0.0174912	93.85720000000002	117.399	159.589
29	0.0174912	0.0227039	103.33152000000001	67.9046	106.08028000000002
30	0.0227039	0.0294694	117.543	67.9046	25.817200000000003
31	0.0294694	inf	117.543	67.9046	25.8172
