time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	406.58200000000005	865.35	2666.16
1	2.71271e-06	6.23343e-06	406.58200000000005	865.35	2666.16
2	6.23343e-06	1.08029e-05	406.58200000000005	1081.26	2666.16
3	1.08029e-05	1.67334e-05	406.58200000000005	829.172	2666.16
4	1.67334e-05	2.44304e-05	421.09319999999997	635.967	2264.9471999999996
5	2.44304e-05	3.44201e-05	479.13799999999986	509.036	660.0959999999999
6	3.44201e-05	4.73853e-05	418.6978999999999	452.43	583.2143000000001
7	4.73853e-05	6.42125e-05	421.1994	463.847	554.7622
8	6.42125e-05	8.60519e-05	482.92980000000006	520.644	573.2012000000001
9	8.60519e-05	0.000114397	568.6141	598.932	627.7632000000001
10	0.000114397	0.000151184	659.8214	684.463	706.4688000000001
11	0.000151184	0.000198929	744.7766999999999	770.239	792.8767000000001
12	0.000198929	0.000260896	835.9141999999999	857.377	889.4450000000002
13	0.000260896	0.000341321	915.4581999999999	938.406	969.5667
14	0.000341321	0.000445702	970.6969999999999	997.629	1022.5719999999999
15	0.000445702	0.000581173	997.1959999999999	1025.61	1044.4
16	0.000581173	0.000756998	996.1143999999999	1022.29	1038.8479999999997
17	0.000756998	0.000985194	978.9175999999999	999.036	1018.4060000000002
18	0.000985194	0.00128136	957.6382999999998	969.941	986.9771999999999
19	0.00128136	0.00166575	931.7360000000001	940.805	946.6858000000001
20	0.00166575	0.00216463	889.3920000000003	901.212	897.3885000000001
21	0.00216463	0.00281211	818.6318000000001	827.57	826.7333999999998
22	0.00281211	0.00365246	702.9378	712.05	713.5653999999998
23	0.00365246	0.00474311	547.7161000000001	570.19	560.6297999999999
24	0.00474311	0.00615864	403.3315	423.465	415.7307
25	0.00615864	0.0079958	284.62	298.054	290.5045
26	0.0079958	0.0103802	206.9341	213.505	200.91739999999993
27	0.0103802	0.0134748	177.71259999999995	180.421	150.1448
28	0.0134748	0.0174912	399.6499999999999	180.421	127.898
29	0.0174912	0.0227039	242.287748	35.5549	101.95899999999997
30	0.0227039	0.0294694	6.244370000000001	35.5549	63.05050000000001
31	0.0294694	inf	6.24437	35.5549	63.0505
