time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	40.00569999999999	791.137	2759.0300000000007
1	2.71271e-06	6.23343e-06	40.00569999999999	791.137	2759.0300000000007
2	6.23343e-06	1.08029e-05	40.00569999999999	929.116	2759.0300000000007
3	1.08029e-05	1.67334e-05	40.00569999999999	619.458	2759.0300000000007
4	1.67334e-05	2.44304e-05	41.693079999999995	345.915	2343.6459999999997
5	2.44304e-05	3.44201e-05	48.44259999999999	200.375	682.11
6	3.44201e-05	4.73853e-05	76.46143000000001	138.003	572.5781999999999
7	4.73853e-05	6.42125e-05	116.83609999999997	124.054	529.35
8	6.42125e-05	8.60519e-05	180.2148	135.314	547.9222
9	8.60519e-05	0.000114397	279.1777	169.033	608.3355
10	0.000114397	0.000151184	438.9295	230.647	693.0187000000001
11	0.000151184	0.000198929	623.1522	320.159	783.1409
12	0.000198929	0.000260896	754.9291999999999	404.304	880.4835999999999
13	0.000260896	0.000341321	773.8960000000001	455.466	961.5222
14	0.000341321	0.000445702	749.5372000000001	492.779	1016.4600000000002
15	0.000445702	0.000581173	738.2174999999999	531.097	1039.6399999999999
16	0.000581173	0.000756998	752.9521000000001	577.645	1038.6190000000001
17	0.000756998	0.000985194	785.1919999999998	637.388	1027.72
18	0.000985194	0.00128136	831.1722000000001	713.883	1014.5710000000003
19	0.00128136	0.00166575	878.9726999999999	807.962	997.5828000000002
20	0.00166575	0.00216463	896.2290000000002	905.086	962.7905000000003
21	0.00216463	0.00281211	863.7563999999998	956.74	894.3507999999999
22	0.00281211	0.00365246	764.9579999999999	904.323	771.084
23	0.00365246	0.00474311	603.8215999999999	734.803	598.8483
24	0.00474311	0.00615864	446.12300000000005	512.453	433.55549999999994
25	0.00615864	0.0079958	310.40700000000004	316.315	289.72450000000003
26	0.0079958	0.0103802	209.60770000000008	188.374	188.17420000000004
27	0.0103802	0.0134748	145.7197	114.932	131.96200000000002
28	0.0134748	0.0174912	108.724	114.932	107.63999999999997
29	0.0174912	0.0227039	102.41384000000001	100.542	106.312
30	0.0227039	0.0294694	92.9486	100.542	104.32000000000001
31	0.0294694	inf	92.9486	100.542	104.32
