time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	3661.239999999999	1075.17	2702.7599999999998
1	2.71271e-06	6.23343e-06	3661.239999999999	1075.17	2702.7599999999998
2	6.23343e-06	1.08029e-05	3661.239999999999	2138.9	2702.7599999999998
3	1.08029e-05	1.67334e-05	3661.239999999999	1693.75	2702.7599999999998
4	1.67334e-05	2.44304e-05	3246.923999999999	1063.87	2293.1061999999997
5	2.44304e-05	3.44201e-05	1589.6599999999999	677.55	654.4910000000001
6	3.44201e-05	4.73853e-05	978.7300999999999	501.272	568.1845
7	4.73853e-05	6.42125e-05	656.9418000000001	458.095	538.5124
8	6.42125e-05	8.60519e-05	570.4232	494.847	562.7445999999999
9	8.60519e-05	0.000114397	589.4361000000001	565.803	624.2652
10	0.000114397	0.000151184	645.6474999999999	649.7	709.5346000000001
11	0.000151184	0.000198929	728.8474999999997	743.952	797.9643000000001
12	0.000198929	0.000260896	813.5987999999999	834.573	891.4292
13	0.000260896	0.000341321	867.0235000000001	908.098	968.6854
14	0.000341321	0.000445702	902.2466000000003	959.17	1021.476
15	0.000445702	0.000581173	925.4695000000002	982.764	1044.745
16	0.000581173	0.000756998	932.8629000000001	982.795	1041.9699999999998
17	0.000756998	0.000985194	926.652	969.809	1025.272
18	0.000985194	0.00128136	918.5449	954.348	1000.3340999999998
19	0.00128136	0.00166575	916.3518000000003	941.429	965.1818000000001
20	0.00166575	0.00216463	907.807	919.182	913.473
21	0.00216463	0.00281211	866.6531999999999	858.038	836.3815999999998
22	0.00281211	0.00365246	767.3920000000002	742.771	715.4116000000001
23	0.00365246	0.00474311	603.9238	588.079	556.5440000000001
24	0.00474311	0.00615864	437.5582	425.501	408.57050000000004
25	0.00615864	0.0079958	295.03499999999997	285.23	279.9135
26	0.0079958	0.0103802	193.19299999999998	186.33	186.54139999999995
27	0.0103802	0.0134748	132.5963	121.883	132.50029999999998
28	0.0134748	0.0174912	107.80200000000002	121.883	108.836
29	0.0174912	0.0227039	122.83760000000002	136.068	126.66799999999999
30	0.0227039	0.0294694	145.391	136.068	153.416
31	0.0294694	inf	145.391	136.068	153.416
