time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	26.5109	854.713	2757.4499999999994
1	2.71271e-06	6.23343e-06	26.5109	854.713	2757.4499999999994
2	6.23343e-06	1.08029e-05	26.5109	849.452	2757.4499999999994
3	1.08029e-05	1.67334e-05	26.5109	563.477	2757.4499999999994
4	1.67334e-05	2.44304e-05	51.86372	341.071	2335.5874
5	2.44304e-05	3.44201e-05	153.27499999999998	235.316	648.1370000000001
6	3.44201e-05	4.73853e-05	115.67596999999999	190.423	567.3829000000001
7	4.73853e-05	6.42125e-05	107.38926	185.294	541.9308
8	6.42125e-05	8.60519e-05	125.5876	213.05	569.314
9	8.60519e-05	0.000114397	155.4566	263.191	631.5836
10	0.000114397	0.000151184	197.27389999999994	328.227	708.6041000000001
11	0.000151184	0.000198929	252.80879999999993	403.098	788.7611
12	0.000198929	0.000260896	322.97279999999995	485.036	884.9695999999998
13	0.000260896	0.000341321	396.6897	562.52	968.8334
14	0.000341321	0.000445702	470.1106	623.449	1022.7660000000002
15	0.000445702	0.000581173	542.399	666.005	1041.8999999999999
16	0.000581173	0.000756998	618.5024000000001	695.679	1032.1779999999999
17	0.000756998	0.000985194	684.4583999999998	720.612	1008.9519999999998
18	0.000985194	0.00128136	746.4812999999998	747.568	979.0290000000002
19	0.00128136	0.00166575	794.6189000000002	781.859	946.2526000000001
20	0.00166575	0.00216463	812.853	818.273	908.8330000000001
21	0.00216463	0.00281211	797.456	828.917	848.9530000000002
22	0.00281211	0.00365246	732.0219999999999	776.57	736.7854000000001
23	0.00365246	0.00474311	598.8798999999999	643.62	569.7759
24	0.00474311	0.00615864	446.2566999999999	467.791	413.6087999999999
25	0.00615864	0.0079958	307.1575	307.338	284.845
26	0.0079958	0.0103802	206.30979999999997	197.393	194.01700000000002
27	0.0103802	0.0134748	147.73749999999998	133.153	142.3324
28	0.0134748	0.0174912	123.46999999999997	133.153	124.22399999999998
29	0.0174912	0.0227039	133.89839999999998	127.215	123.5592
30	0.0227039	0.0294694	149.541	127.215	122.56200000000001
31	0.0294694	inf	149.541	127.215	122.562
