time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	1074.47	772.012	2729.4500000000003
1	2.71271e-06	6.23343e-06	1074.47	772.012	2729.4500000000003
2	6.23343e-06	1.08029e-05	1074.47	1111.59	2729.4500000000003
3	1.08029e-05	1.67334e-05	1074.47	1164.82	2729.4500000000003
4	1.67334e-05	2.44304e-05	1184.4	970.041	2311.4706
5	2.44304e-05	3.44201e-05	1624.1200000000001	709.467	639.553
6	3.44201e-05	4.73853e-05	1032.8307	555.399	560.7294999999999
7	4.73853e-05	6.42125e-05	730.5841999999999	524.714	537.5164
8	6.42125e-05	8.60519e-05	664.1543999999999	563.009	567.9092
9	8.60519e-05	0.000114397	698.542	638.421	633.9274
10	0.000114397	0.000151184	768.8546	729.825	712.5685
11	0.000151184	0.000198929	834.272	816.997	792.5042000000002
12	0.000198929	0.000260896	907.3267999999999	897.661	886.1312000000001
13	0.000260896	0.000341321	982.0681999999999	973.884	969.5984000000001
14	0.000341321	0.000445702	1046.884	1040.5	1029.364
15	0.000445702	0.000581173	1093.085	1081.99	1057.075
16	0.000581173	0.000756998	1114.632	1090.66	1056.879
17	0.000756998	0.000985194	1110.226	1077.4	1042.8800000000003
18	0.000985194	0.00128136	1089.3669999999997	1054.68	1021.3001000000002
19	0.00128136	0.00166575	1051.5240000000001	1021.58	985.8173
20	0.00166575	0.00216463	986.2044999999998	963.48	928.6420000000003
21	0.00216463	0.00281211	888.8764000000002	867.088	846.5432000000001
22	0.00281211	0.00365246	748.3248000000002	734.894	722.9416000000002
23	0.00365246	0.00474311	575.3783999999999	579.92	559.6049000000002
24	0.00474311	0.00615864	415.97520000000003	421.07	405.52520000000004
25	0.00615864	0.0079958	283.433	286.729	275.0305
26	0.0079958	0.0103802	199.17889999999994	198.842	184.99160000000003
27	0.0103802	0.0134748	163.9706	154.239	135.78050000000002
28	0.0134748	0.0174912	223.71800000000005	154.239	114.72700000000002
29	0.0174912	0.0227039	139.20300000000006	42.5642	105.37592
30	0.0227039	0.0294694	12.4305	42.5642	91.34929999999999
31	0.0294694	inf	12.4305	42.5642	91.3493
