time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	411.73499999999996	3.40224	27.7251
1	2.71271e-06	6.23343e-06	411.73499999999996	3.40224	27.7251
2	6.23343e-06	1.08029e-05	411.73499999999996	98.862	27.7251
3	1.08029e-05	1.67334e-05	411.73499999999996	132.098	27.7251
4	1.67334e-05	2.44304e-05	427.67079999999993	152.946	54.58068
5	2.44304e-05	3.44201e-05	491.4139999999999	146.126	162.003
6	3.44201e-05	4.73853e-05	418.0988	136.581	117.55895000000002
7	4.73853e-05	6.42125e-05	415.5376	156.315	105.28690000000002
8	6.42125e-05	8.60519e-05	478.98080000000004	198.36	122.2374
9	8.60519e-05	0.000114397	568.5158000000001	253.168	153.5972
10	0.000114397	0.000151184	657.0000000000002	318.927	196.86360000000002
11	0.000151184	0.000198929	739.2613000000001	393.108	251.40080000000006
12	0.000198929	0.000260896	830.7314	473.71	320.4136
13	0.000260896	0.000341321	912.5724	550.535	395.0333999999999
14	0.000341321	0.000445702	971.2162	612.641	469.93520000000007
15	0.000445702	0.000581173	998.9299999999998	659.973	542.8775
16	0.000581173	0.000756998	994.6983999999998	694.265	618.9495999999999
17	0.000756998	0.000985194	973.7232	722.363	684.5984000000002
18	0.000985194	0.00128136	954.2999000000001	753.034	747.5197999999999
19	0.00128136	0.00166575	941.2601000000001	792.039	799.9193999999999
20	0.00166575	0.00216463	917.8185000000001	830.485	822.588
21	0.00216463	0.00281211	863.0196000000002	838.22	808.4623999999999
22	0.00281211	0.00365246	752.638	781.012	742.1436
23	0.00365246	0.00474311	586.8847999999999	650.41	606.9508000000001
24	0.00474311	0.00615864	428.2016000000001	479.581	450.5410000000001
25	0.00615864	0.0079958	294.4455	316.378	305.046
26	0.0079958	0.0103802	202.06709999999995	201.483	198.22880000000004
27	0.0103802	0.0134748	155.85660000000001	136.104	137.2568
28	0.0134748	0.0174912	188.415	136.104	110.53600000000002
29	0.0174912	0.0227039	123.05735999999997	71.8694	115.4876
30	0.0227039	0.0294694	25.020899999999994	71.8694	122.915
31	0.0294694	inf	25.0209	71.8694	122.915
