time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	13.600099999999998	772.434	2718.46
1	2.71271e-06	6.23343e-06	13.600099999999998	772.434	2718.46
2	6.23343e-06	1.08029e-05	13.600099999999998	882.526	2718.46
3	1.08029e-05	1.67334e-05	13.600099999999998	556.421	2718.46
4	1.67334e-05	2.44304e-05	32.76608	333.299	2304.96
5	2.44304e-05	3.44201e-05	109.42999999999999	236.462	650.96
6	3.44201e-05	4.73853e-05	103.0376	202.543	569.494
7	4.73853e-05	6.42125e-05	102.5108	210.69	543.1380000000001
8	6.42125e-05	8.60519e-05	111.79899999999999	246.835	568.8444000000001
9	8.60519e-05	0.000114397	141.64149999999998	305.962	628.0185
10	0.000114397	0.000151184	202.59219999999996	381.39	705.5284
11	0.000151184	0.000198929	274.75880000000006	465.733	788.5507
12	0.000198929	0.000260896	350.04940000000005	551.599	884.5432
13	0.000260896	0.000341321	422.61660000000006	627.01	968.1868000000001
14	0.000341321	0.000445702	493.5826000000001	685.008	1023.2159999999999
15	0.000445702	0.000581173	560.139	724.008	1043.155
16	0.000581173	0.000756998	627.0517000000002	747.914	1034.7609999999997
17	0.000756998	0.000985194	683.455	765.554	1013.504
18	0.000985194	0.00128136	740.7995999999998	787.13	987.63
19	0.00128136	0.00166575	796.3494999999999	817.811	960.4397
20	0.00166575	0.00216463	826.9289999999999	848.305	926.2580000000003
21	0.00216463	0.00281211	818.031	846.336	867.2329999999998
22	0.00281211	0.00365246	748.8974000000002	774.445	757.4858000000002
23	0.00365246	0.00474311	605.4906	631.705	595.0761
24	0.00474311	0.00615864	444.5295	457.325	431.64330000000007
25	0.00615864	0.0079958	299.9815	298.708	288.50699999999995
26	0.0079958	0.0103802	199.62379999999993	191.349	188.0973
27	0.0103802	0.0134748	146.1578	127.863	132.05519999999999
28	0.0134748	0.0174912	125.95	127.863	106.69600000000001
29	0.0174912	0.0227039	135.7196	113.457	95.75251999999999
30	0.0227039	0.0294694	150.374	113.457	79.33729999999998
31	0.0294694	inf	150.374	113.457	79.3373
