time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	388.72099999999995	766.687	2720.5000000000005
1	2.71271e-06	6.23343e-06	388.72099999999995	766.687	2720.5000000000005
2	6.23343e-06	1.08029e-05	388.72099999999995	947.232	2720.5000000000005
3	1.08029e-05	1.67334e-05	388.72099999999995	796.798	2720.5000000000005
4	1.67334e-05	2.44304e-05	456.26599999999996	589.812	2303.9266000000002
5	2.44304e-05	3.44201e-05	726.4459999999998	479.223	637.633
6	3.44201e-05	4.73853e-05	592.2027999999999	443.228	565.918
7	4.73853e-05	6.42125e-05	541.1407999999999	467.729	543.7514
8	6.42125e-05	8.60519e-05	565.6132	537.525	569.7883999999999
9	8.60519e-05	0.000114397	634.2873	626.971	630.6287
10	0.000114397	0.000151184	729.9630999999998	720.629	712.2207999999999
11	0.000151184	0.000198929	820.3433	811.43	798.8224
12	0.000198929	0.000260896	902.2142000000001	892.08	890.8802000000001
13	0.000260896	0.000341321	971.7497000000002	965.509	967.0677000000001
14	0.000341321	0.000445702	1032.208	1030.97	1022.9259999999999
15	0.000445702	0.000581173	1076.6999999999998	1074.4	1056.155
16	0.000581173	0.000756998	1097.0629999999999	1087.95	1067.9899999999998
17	0.000756998	0.000985194	1092.604	1076.29	1058.996
18	0.000985194	0.00128136	1073.3089999999997	1052.15	1034.195
19	0.00128136	0.00166575	1041.802	1021.61	994.8339000000001
20	0.00166575	0.00216463	994.314	973.764	937.4714999999999
21	0.00216463	0.00281211	919.3355999999999	889.087	854.2064000000001
22	0.00281211	0.00365246	791.1163999999998	754.946	724.5335999999998
23	0.00365246	0.00474311	605.9227000000001	583.647	554.0218
24	0.00474311	0.00615864	427.13620000000003	409.882	399.232
25	0.00615864	0.0079958	276.905	267.541	272.11899999999997
26	0.0079958	0.0103802	172.2256	171.467	182.15639999999996
27	0.0103802	0.0134748	109.1209	104.288	126.93419999999998
28	0.0134748	0.0174912	73.2965	104.288	97.4973
29	0.0174912	0.0227039	77.16314	91.13	99.23798
30	0.0227039	0.0294694	82.96310000000001	91.13	101.849
31	0.0294694	inf	82.9631	91.13	101.849
