time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	620.6849999999998	900.234	2657.32
1	2.71271e-06	6.23343e-06	620.6849999999998	900.234	2657.32
2	6.23343e-06	1.08029e-05	620.6849999999998	1137.21	2657.32
3	1.08029e-05	1.67334e-05	620.6849999999998	854.084	2657.32
4	1.67334e-05	2.44304e-05	552.8756	551.47	2257.2822
5	2.44304e-05	3.44201e-05	281.63800000000003	409.955	657.1309999999999
6	3.44201e-05	4.73853e-05	304.5742	370.539	575.8778
7	4.73853e-05	6.42125e-05	354.8996	405.081	546.2758
8	6.42125e-05	8.60519e-05	435.7323999999999	485.06	566.8624000000001
9	8.60519e-05	0.000114397	524.0660999999999	577.096	625.7856000000002
10	0.000114397	0.000151184	603.4961	661.59	705.3341
11	0.000151184	0.000198929	680.9712999999998	743.801	790.2286
12	0.000198929	0.000260896	776.6093999999999	831.728	887.1004
13	0.000260896	0.000341321	867.8627	915.291	969.0058
14	0.000341321	0.000445702	931.8107999999997	977.118	1024.624
15	0.000445702	0.000581173	959.4410000000001	1004.05	1048.445
16	0.000581173	0.000756998	959.2789999999998	1002.3	1044.796
17	0.000756998	0.000985194	949.6687999999997	987.406	1026.908
18	0.000985194	0.00128136	940.4429000000002	969.588	998.7562999999999
19	0.00128136	0.00166575	931.3243000000001	950.367	960.9264000000001
20	0.00166575	0.00216463	907.291	916.311	911.6650000000002
21	0.00216463	0.00281211	852.8866000000002	845.35	840.0412000000001
22	0.00281211	0.00365246	747.1265999999999	729.158	724.6528
23	0.00365246	0.00474311	584.9164000000001	578.497	565.1973
24	0.00474311	0.00615864	423.93880000000007	419.069	411.8898
25	0.00615864	0.0079958	289.30799999999994	282.301	280.42750000000007
26	0.0079958	0.0103802	193.99760000000003	185.767	187.35319999999996
27	0.0103802	0.0134748	134.7695	118.72	134.40919999999997
28	0.0134748	0.0174912	104.16200000000002	118.72	109.808
29	0.0174912	0.0227039	124.04799999999999	113.381	101.09483999999999
30	0.0227039	0.0294694	153.87699999999998	113.381	88.0251
31	0.0294694	inf	153.877	113.381	88.0251
