time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	349.554	1.71599	258.946
1	2.71271e-06	6.23343e-06	349.554	1.71599	258.946
2	6.23343e-06	1.08029e-05	349.554	95.1772	258.946
3	1.08029e-05	1.67334e-05	349.554	269.71	258.946
4	1.67334e-05	2.44304e-05	382.78239999999994	359.384	309.7594
5	2.44304e-05	3.44201e-05	515.6959999999999	342.357	513.0130000000001
6	3.44201e-05	4.73853e-05	387.62190000000004	326.514	434.1040999999999
7	4.73853e-05	6.42125e-05	360.723	356.08	405.46959999999996
8	6.42125e-05	8.60519e-05	426.35460000000006	424.553	426.61339999999996
9	8.60519e-05	0.000114397	532.4619000000001	518.723	490.8888999999999
10	0.000114397	0.000151184	646.6351	624.192	598.4569000000001
11	0.000151184	0.000198929	749.2370999999999	720.862	699.8881000000001
12	0.000198929	0.000260896	836.6693999999999	807.614	789.0028000000001
13	0.000260896	0.000341321	907.2549000000002	887.146	865.9300000000003
14	0.000341321	0.000445702	966.4968000000001	950.61	926.4404000000001
15	0.000445702	0.000581173	1009.4069999999998	992.672	966.0059999999997
16	0.000581173	0.000756998	1029.751	1009.28	984.3110999999999
17	0.000756998	0.000985194	1027.194	1004.78	983.2225999999998
18	0.000985194	0.00128136	1017.4050000000002	994.796	974.1967
19	0.00128136	0.00166575	1001.8105	983.463	961.7853999999999
20	0.00166575	0.00216463	962.1315	950.707	930.8125000000002
21	0.00216463	0.00281211	885.3805999999998	870.218	862.8134000000002
22	0.00281211	0.00365246	753.3953999999998	736.235	738.5002
23	0.00365246	0.00474311	577.2588	571.343	565.4174
24	0.00474311	0.00615864	422.5413	411.435	406.2424999999999
25	0.00615864	0.0079958	294.542	280.674	276.825
26	0.0079958	0.0103802	200.36040000000006	190.518	189.17860000000002
27	0.0103802	0.0134748	141.46740000000003	129.166	139.7137
28	0.0134748	0.0174912	115.45999999999998	129.166	119.03599999999999
29	0.0174912	0.0227039	102.223	104.046	125.6648
30	0.0227039	0.0294694	82.3675	104.046	135.608
31	0.0294694	inf	82.3675	104.046	135.608
