time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	7.27214	0.392172	196.32000000000002
1	2.71271e-06	6.23343e-06	7.27214	0.392172	196.32000000000002
2	6.23343e-06	1.08029e-05	7.27214	3.60371	196.32000000000002
3	1.08029e-05	1.67334e-05	7.27214	58.4969	196.32000000000002
4	1.67334e-05	2.44304e-05	29.007911999999997	104.155	242.30020000000002
5	2.44304e-05	3.44201e-05	115.95100000000001	94.0043	426.22099999999995
6	3.44201e-05	4.73853e-05	100.38040999999998	87.7999	400.4357999999999
7	4.73853e-05	6.42125e-05	110.00558000000001	92.0528	408.22099999999995
8	6.42125e-05	8.60519e-05	155.9446	108.46	449.60079999999994
9	8.60519e-05	0.000114397	259.1705	143.957	511.05289999999997
10	0.000114397	0.000151184	435.4236	208.942	601.4616
11	0.000151184	0.000198929	639.9238	303.87	698.9045000000001
12	0.000198929	0.000260896	795.885	393.705	790.7600000000001
13	0.000260896	0.000341321	826.3747999999999	450.789	865.8413
14	0.000341321	0.000445702	791.7297999999998	491.177	925.7406000000002
15	0.000445702	0.000581173	764.8915000000002	531.813	961.0185
16	0.000581173	0.000756998	771.5351000000002	580.666	968.6148000000002
17	0.000756998	0.000985194	803.644	642.78	963.0280000000002
18	0.000985194	0.00128136	851.0571	720.944	964.0033999999998
19	0.00128136	0.00166575	896.9546000000003	815.424	975.2114000000001
20	0.00166575	0.00216463	910.5810000000001	916.398	971.4935000000002
21	0.00216463	0.00281211	876.4622	979.171	923.0828000000002
22	0.00281211	0.00365246	776.5925999999997	926.853	800.8155999999999
23	0.00365246	0.00474311	610.4858999999999	742.031	608.2468000000001
24	0.00474311	0.00615864	444.4095000000001	504.672	427.1592999999999
25	0.00615864	0.0079958	302.426	307.573	283.145
26	0.0079958	0.0103802	198.96980000000005	184.566	187.84789999999995
27	0.0103802	0.0134748	134.933	114.778	134.4782
28	0.0134748	0.0174912	102.34700000000002	114.778	114.46699999999998
29	0.0174912	0.0227039	91.80623999999999	79.5511	108.20500000000001
30	0.0227039	0.0294694	75.9951	79.5511	98.81200000000001
31	0.0294694	inf	75.9951	79.5511	98.812
