time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	3621.109999999999	229.71	216.917
1	2.71271e-06	6.23343e-06	3621.109999999999	229.71	216.917
2	6.23343e-06	1.08029e-05	3621.109999999999	1228.32	216.917
3	1.08029e-05	1.67334e-05	3621.109999999999	1188.41	216.917
4	1.67334e-05	2.44304e-05	3204.0439999999994	815.691	260.3988
5	2.44304e-05	3.44201e-05	1535.78	540.188	434.3259999999999
6	3.44201e-05	4.73853e-05	966.3972000000003	427.092	399.8551999999999
7	4.73853e-05	6.42125e-05	665.8607999999999	412.561	408.31839999999994
8	6.42125e-05	8.60519e-05	583.218	455.258	458.4558
9	8.60519e-05	0.000114397	596.2794000000001	524.473	528.1663000000001
10	0.000114397	0.000151184	644.9650999999999	609.144	614.8589999999999
11	0.000151184	0.000198929	723.5045	703.156	708.7511000000001
12	0.000198929	0.000260896	808.5570000000001	788.76	800.39
13	0.000260896	0.000341321	863.8759000000002	861.458	876.2518999999999
14	0.000341321	0.000445702	900.8832000000001	918.704	935.6937999999998
15	0.000445702	0.000581173	924.8689999999999	949.773	968.477
16	0.000581173	0.000756998	932.1326000000003	951.911	971.1441000000002
17	0.000756998	0.000985194	926.7368000000002	940.125	958.2437999999999
18	0.000985194	0.00128136	920.884	931.693	943.2173000000001
19	0.00128136	0.00166575	920.8718000000001	927.761	926.4718
20	0.00166575	0.00216463	912.7955000000002	911.045	895.208
21	0.00216463	0.00281211	870.4780000000002	853.961	834.2406000000001
22	0.00281211	0.00365246	770.1096000000001	742.036	722.4826000000002
23	0.00365246	0.00474311	607.6429999999999	587.181	560.0889
24	0.00474311	0.00615864	440.8694	423.355	405.64140000000003
25	0.00615864	0.0079958	295.24249999999995	285.476	281.05199999999996
26	0.0079958	0.0103802	189.79489999999996	191.197	199.24379999999996
27	0.0103802	0.0134748	127.64180000000003	128.129	153.80880000000002
28	0.0134748	0.0174912	104.76600000000003	128.129	132.42099999999996
29	0.0174912	0.0227039	126.8816	96.4898	101.91619999999998
30	0.0227039	0.0294694	160.05500000000004	96.4898	56.15899999999999
31	0.0294694	inf	160.055	96.4898	56.159
