time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	52.67679999999999	5.92627	29.835400000000007
1	2.71271e-06	6.23343e-06	52.67679999999999	5.92627	29.835400000000007
2	6.23343e-06	1.08029e-05	52.67679999999999	24.3891	29.835400000000007
3	1.08029e-05	1.67334e-05	52.67679999999999	19.1625	29.835400000000007
4	1.67334e-05	2.44304e-05	52.183479999999996	33.6637	55.175720000000005
5	2.44304e-05	3.44201e-05	50.2102	44.8439	156.53700000000003
6	3.44201e-05	4.73853e-05	70.9883	40.3103	115.86497000000003
7	4.73853e-05	6.42125e-05	106.73871999999999	42.978	102.88766
8	6.42125e-05	8.60519e-05	168.4638	62.5814	116.07179999999998
9	8.60519e-05	0.000114397	270.4227	103.478	146.10519999999997
10	0.000114397	0.000151184	434.9342	175.398	187.6722
11	0.000151184	0.000198929	622.9966999999999	272.976	242.6565
12	0.000198929	0.000260896	756.5797999999999	358.789	313.7514
13	0.000260896	0.000341321	775.1744	414.855	389.64599999999996
14	0.000341321	0.000445702	750.4534000000001	462.62	462.93940000000003
15	0.000445702	0.000581173	739.0194999999999	519.261	533.7415000000001
16	0.000581173	0.000756998	753.5006999999998	588.129	611.612
17	0.000756998	0.000985194	786.2296	666.993	685.9977999999999
18	0.000985194	0.00128136	834.5447	750.61	766.7878
19	0.00128136	0.00166575	888.1988999999999	832.732	845.1177999999999
20	0.00166575	0.00216463	913.2155000000001	899.701	893.6105
21	0.00216463	0.00281211	886.1627999999998	915.368	893.4908000000001
22	0.00281211	0.00365246	787.9787999999998	841.815	822.7508000000001
23	0.00365246	0.00474311	620.3534	682.866	665.8223
24	0.00474311	0.00615864	454.29140000000007	491.335	486.8951
25	0.00615864	0.0079958	314.64700000000005	329.429	332.2195
26	0.0079958	0.0103802	216.45730000000006	225.424	229.86330000000004
27	0.0103802	0.0134748	160.2064	178.621	177.48329999999999
28	0.0134748	0.0174912	148.03799999999998	178.621	193.527
29	0.0174912	0.0227039	102.37052000000003	34.7584	123.91271999999998
30	0.0227039	0.0294694	33.8693	34.7584	19.4913
31	0.0294694	inf	33.8693	34.7584	19.4913
