time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	25.4824	0.392162	160.051
1	2.71271e-06	6.23343e-06	25.4824	0.392162	160.051
2	6.23343e-06	1.08029e-05	25.4824	3.39752	160.051
3	1.08029e-05	1.67334e-05	25.4824	50.1824	160.051
4	1.67334e-05	2.44304e-05	52.683319999999995	107.542	218.0578
5	2.44304e-05	3.44201e-05	161.48699999999994	125.82	450.08500000000004
6	3.44201e-05	4.73853e-05	116.62133999999995	136.773	417.5258999999999
7	4.73853e-05	6.42125e-05	103.89391999999998	154.879	424.194
8	6.42125e-05	8.60519e-05	120.76339999999999	185.857	467.989
9	8.60519e-05	0.000114397	153.3657	233.57	527.7051999999999
10	0.000114397	0.000151184	196.04740000000004	303.725	611.8197
11	0.000151184	0.000198929	252.16190000000003	387.621	707.8738999999999
12	0.000198929	0.000260896	323.495	468.073	801.4442
13	0.000260896	0.000341321	398.28589999999997	542.762	878.7533000000001
14	0.000341321	0.000445702	470.68839999999994	605.126	934.6932
15	0.000445702	0.000581173	540.855	651.453	960.1065
16	0.000581173	0.000756998	615.9435000000001	686.016	957.5990999999998
17	0.000756998	0.000985194	681.9046000000001	715.373	940.7243999999998
18	0.000985194	0.00128136	743.7272999999999	745.312	922.3197000000001
19	0.00128136	0.00166575	792.5371999999999	782.061	910.7983
20	0.00166575	0.00216463	812.8910000000001	819.878	895.3804999999999
21	0.00216463	0.00281211	799.1724	828.486	852.0787999999998
22	0.00281211	0.00365246	736.6371999999999	774.76	753.5940000000002
23	0.00365246	0.00474311	607.6806	647.412	590.2930000000001
24	0.00474311	0.00615864	451.3302	470.724	420.1666
25	0.00615864	0.0079958	304.2625	303.083	277.1110000000001
26	0.0079958	0.0103802	198.60259999999994	191.056	182.08309999999997
27	0.0103802	0.0134748	139.0616	125.991	131.081
28	0.0134748	0.0174912	114.12599999999999	125.991	112.59699999999997
29	0.0174912	0.0227039	110.56200000000001	93.6052	104.43220000000001
30	0.0227039	0.0294694	105.21600000000001	93.6052	92.18500000000002
31	0.0294694	inf	105.216	93.6052	92.185
