time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	1071.74	4.11087	209.79299999999998
1	2.71271e-06	6.23343e-06	1071.74	4.11087	209.79299999999998
2	6.23343e-06	1.08029e-05	1071.74	167.86	209.79299999999998
3	1.08029e-05	1.67334e-05	1071.74	617.922	209.79299999999998
4	1.67334e-05	2.44304e-05	1187.61	846.803	273.1628
5	2.44304e-05	3.44201e-05	1651.0899999999995	717.3	526.642
6	3.44201e-05	4.73853e-05	1027.635	551.934	444.931
7	4.73853e-05	6.42125e-05	708.1672000000002	498.488	419.5584
8	6.42125e-05	8.60519e-05	638.5142	522.47	448.732
9	8.60519e-05	0.000114397	682.3664999999999	592.222	517.7357
10	0.000114397	0.000151184	769.0176999999999	688.626	619.4843
11	0.000151184	0.000198929	840.2190999999998	784.079	718.1665
12	0.000198929	0.000260896	910.5094	865.548	805.647
13	0.000260896	0.000341321	980.6202999999999	934.049	881.4082999999999
14	0.000341321	0.000445702	1044.5939999999998	994.063	946.1040000000002
15	0.000445702	0.000581173	1096.8949999999998	1042.48	990.9945000000002
16	0.000581173	0.000756998	1131.199	1069.7	1013.746
17	0.000756998	0.000985194	1138.894	1074.67	1015.8859999999999
18	0.000985194	0.00128136	1127.884	1064.75	1009.822
19	0.00128136	0.00166575	1094.5819999999999	1042.96	998.2080000000001
20	0.00166575	0.00216463	1028.902	998.605	969.5315
21	0.00216463	0.00281211	930.3406000000001	913.538	905.9317999999998
22	0.00281211	0.00365246	787.3090000000002	780.093	783.1077999999999
23	0.00365246	0.00474311	605.2805	610.214	603.2326
24	0.00474311	0.00615864	430.1126	431.22	430.49800000000005
25	0.00615864	0.0079958	283.428	278.381	283.751
26	0.0079958	0.0103802	188.47060000000002	177.191	181.67239999999995
27	0.0103802	0.0134748	141.79659999999998	121.582	128.426
28	0.0134748	0.0174912	134.89000000000001	121.582	117.15400000000001
29	0.0174912	0.0227039	95.55976000000001	87.1232	131.832
30	0.0227039	0.0294694	36.564400000000006	87.1232	153.849
31	0.0294694	inf	36.5644	87.1232	153.849
