time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	32.2304	5.06042	250.172
1	2.71271e-06	6.23343e-06	32.2304	5.06042	250.172
2	6.23343e-06	1.08029e-05	32.2304	36.7999	250.172
3	1.08029e-05	1.67334e-05	32.2304	83.4242	250.172
4	1.67334e-05	2.44304e-05	47.11912000000001	141.247	302.0108
5	2.44304e-05	3.44201e-05	106.674	150.957	509.366
6	3.44201e-05	4.73853e-05	80.62356999999999	147.452	428.6770000000001
7	4.73853e-05	6.42125e-05	70.45662	154.034	401.63199999999995
8	6.42125e-05	8.60519e-05	75.69306	177.757	426.1028
9	8.60519e-05	0.000114397	95.12073	223.398	489.002
10	0.000114397	0.000151184	142.2848	298.886	591.7052
11	0.000151184	0.000198929	212.91369999999998	389.377	695.9429
12	0.000198929	0.000260896	299.94519999999994	475.018	788.5136
13	0.000260896	0.000341321	381.37750000000005	547.777	863.3503999999999
14	0.000341321	0.000445702	456.675	609.425	922.878
15	0.000445702	0.000581173	532.5385	663.052	962.4110000000001
16	0.000581173	0.000756998	616.4896	709.052	980.7668
17	0.000756998	0.000985194	690.5187999999998	751.429	982.8701999999998
18	0.000985194	0.00128136	765.7356	797.805	980.3830999999999
19	0.00128136	0.00166575	838.8131	853.172	979.5870000000001
20	0.00166575	0.00216463	888.6250000000001	907.969	967.3880000000001
21	0.00216463	0.00281211	896.1671999999998	923.411	918.0398000000001
22	0.00281211	0.00365246	833.8095999999999	851.738	798.6894
23	0.00365246	0.00474311	670.6423	685.69	604.7876
24	0.00474311	0.00615864	474.81219999999996	477.8	420.1235
25	0.00615864	0.0079958	305.16149999999993	300.525	278.595
26	0.0079958	0.0103802	191.67949999999996	187.847	193.9947
27	0.0103802	0.0134748	130.95829999999998	121.149	161.883
28	0.0134748	0.0174912	108.335	121.149	314.781
29	0.0174912	0.0227039	123.07939999999998	76.8555	189.52443600000004
30	0.0227039	0.0294694	145.196	76.8555	1.6395899999999999
31	0.0294694	inf	145.196	76.8555	1.63959
