time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	321.334	2.82975	268.424
1	2.71271e-06	6.23343e-06	321.334	2.82975	268.424
2	6.23343e-06	1.08029e-05	321.334	73.9822	268.424
3	1.08029e-05	1.67334e-05	321.334	235.547	268.424
4	1.67334e-05	2.44304e-05	422.2936	343.732	309.88739999999996
5	2.44304e-05	3.44201e-05	826.132	377.821	475.74099999999993
6	3.44201e-05	4.73853e-05	627.7569000000001	374.17	414.05560000000014
7	4.73853e-05	6.42125e-05	530.9746000000001	390.407	392.6202
8	6.42125e-05	8.60519e-05	525.4920000000001	441.175	414.70599999999996
9	8.60519e-05	0.000114397	583.4059	526.535	484.0082999999999
10	0.000114397	0.000151184	676.3965999999998	638.277	594.038
11	0.000151184	0.000198929	772.2499000000001	746.695	705.1543999999999
12	0.000198929	0.000260896	866.7959999999999	834.639	800.7653999999999
13	0.000260896	0.000341321	944.48	904.918	870.3987999999997
14	0.000341321	0.000445702	999.9312000000002	959.986	921.3582000000001
15	0.000445702	0.000581173	1031.99	995.38	953.5624999999998
16	0.000581173	0.000756998	1040.274	1003.26	964.4576000000002
17	0.000756998	0.000985194	1027.038	989.123	955.3345999999999
18	0.000985194	0.00128136	1007.3720999999998	972.57	940.6737
19	0.00128136	0.00166575	987.2356000000002	960.045	928.6447
20	0.00166575	0.00216463	953.9489999999998	932.2	900.5924999999999
21	0.00216463	0.00281211	892.843	863.206	839.0042
22	0.00281211	0.00365246	779.9574000000002	743.67	726.3182
23	0.00365246	0.00474311	611.3946000000001	587.22	564.6325
24	0.00474311	0.00615864	440.91959999999995	423.334	409.93539999999996
25	0.00615864	0.0079958	289.171	279.792	277.67449999999997
26	0.0079958	0.0103802	180.02580000000003	178.562	184.00179999999997
27	0.0103802	0.0134748	117.5709	114.121	131.2606
28	0.0134748	0.0174912	89.28510000000001	114.121	110.89699999999999
29	0.0174912	0.0227039	92.92606000000002	115.952	128.8202
30	0.0227039	0.0294694	98.38750000000003	115.952	155.705
31	0.0294694	inf	98.3875	115.952	155.705
