time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	437.3329999999999	52.5379	274.61999999999995
1	2.71271e-06	6.23343e-06	437.3329999999999	52.5379	274.61999999999995
2	6.23343e-06	1.08029e-05	437.3329999999999	141.232	274.61999999999995
3	1.08029e-05	1.67334e-05	437.3329999999999	283.951	274.61999999999995
4	1.67334e-05	2.44304e-05	474.66759999999994	429.783	315.08559999999994
5	2.44304e-05	3.44201e-05	624.0059999999999	421.706	476.9479999999999
6	3.44201e-05	4.73853e-05	512.5968	394.088	417.5201000000001
7	4.73853e-05	6.42125e-05	473.11560000000003	405.248	395.237
8	6.42125e-05	8.60519e-05	500.66380000000004	458.89	415.6738
9	8.60519e-05	0.000114397	569.7299	538.083	489.5525
10	0.000114397	0.000151184	654.3965000000001	627.511	602.0419999999999
11	0.000151184	0.000198929	739.3127999999999	722.203	712.2632000000002
12	0.000198929	0.000260896	834.4792	816.031	804.7886000000002
13	0.000260896	0.000341321	921.6845000000001	898.193	870.5776999999999
14	0.000341321	0.000445702	988.6905999999999	959.616	919.0615999999999
15	0.000445702	0.000581173	1023.0749999999998	991.52	948.268
16	0.000581173	0.000756998	1025.65	991.578	954.2802000000001
17	0.000756998	0.000985194	1006.6700000000001	970.533	941.5064
18	0.000985194	0.00128136	978.2136000000002	949.238	924.9772999999998
19	0.00128136	0.00166575	949.4108000000002	932.917	910.9742999999999
20	0.00166575	0.00216463	909.3114999999998	901.427	883.078
21	0.00216463	0.00281211	844.1777999999998	833.041	824.9323999999999
22	0.00281211	0.00365246	735.6922000000002	718.678	715.5916
23	0.00365246	0.00474311	578.6639000000001	568.406	554.0580000000001
24	0.00474311	0.00615864	418.6097000000001	409.2	400.4150999999999
25	0.00615864	0.0079958	279.4905	270.938	271.12
26	0.0079958	0.0103802	183.79790000000003	175.866	179.6641
27	0.0103802	0.0134748	131.28229999999996	117.342	127.08189999999996
28	0.0134748	0.0174912	108.635	117.342	107.91300000000001
29	0.0174912	0.0227039	98.71887999999998	116.217	116.4226
30	0.0227039	0.0294694	83.84469999999999	116.217	129.187
31	0.0294694	inf	83.8447	116.217	129.187
