time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	3685.09	245.873	24.007900000000003
1	2.71271e-06	6.23343e-06	3685.09	245.873	24.007900000000003
2	6.23343e-06	1.08029e-05	3685.09	1173.51	24.007900000000003
3	1.08029e-05	1.67334e-05	3685.09	1003.78	24.007900000000003
4	1.67334e-05	2.44304e-05	3265.4220000000005	628.547	49.40552
5	2.44304e-05	3.44201e-05	1586.7499999999998	365.697	150.996
6	3.44201e-05	4.73853e-05	990.1050000000002	235.836	115.6733
7	4.73853e-05	6.42125e-05	668.8044	194.265	106.66299999999998
8	6.42125e-05	8.60519e-05	572.5451999999999	204.396	122.3932
9	8.60519e-05	0.000114397	586.3611999999999	241.082	152.58610000000002
10	0.000114397	0.000151184	642.2067000000001	299.064	194.3043
11	0.000151184	0.000198929	725.4866000000001	378.046	248.90260000000006
12	0.000198929	0.000260896	811.0752000000001	459.121	320.3088
13	0.000260896	0.000341321	865.8529000000003	527.032	396.8746999999999
14	0.000341321	0.000445702	901.0034000000002	583.934	471.8765999999999
15	0.000445702	0.000581173	922.5899999999999	634.643	544.288
16	0.000581173	0.000756998	926.9867	678.303	620.9793
17	0.000756998	0.000985194	918.9469999999998	716.165	687.8322
18	0.000985194	0.00128136	915.3389000000001	754.515	751.7677000000001
19	0.00128136	0.00166575	926.3106999999999	799.813	805.3506000000001
20	0.00166575	0.00216463	934.8264999999999	842.901	829.4889999999998
21	0.00216463	0.00281211	907.9103999999999	853.154	814.8408
22	0.00281211	0.00365246	814.9803999999999	795.613	744.2432000000001
23	0.00365246	0.00474311	642.739	660.478	602.3872
24	0.00474311	0.00615864	460.42359999999996	479.924	442.44370000000004
25	0.00615864	0.0079958	306.04850000000005	312.848	300.1345
26	0.0079958	0.0103802	198.30389999999997	198.541	199.04620000000006
27	0.0103802	0.0134748	134.8065	129.596	140.989
28	0.0134748	0.0174912	106.92099999999998	129.596	117.88299999999998
29	0.0174912	0.0227039	87.58456	88.1333	120.09419999999999
30	0.0227039	0.0294694	58.5799	88.1333	123.41099999999999
31	0.0294694	inf	58.5799	88.1333	123.411
