time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	2742.32	861.586	234.777
1	2.71271e-06	6.23343e-06	2742.32	861.586	234.777
2	6.23343e-06	1.08029e-05	2742.32	935.544	234.777
3	1.08029e-05	1.67334e-05	2742.32	710.107	234.777
4	1.67334e-05	2.44304e-05	2320.5224000000003	541.948	293.7848
5	2.44304e-05	3.44201e-05	633.332	450.728	529.816
6	3.44201e-05	4.73853e-05	554.8599	406.88	452.8880999999999
7	4.73853e-05	6.42125e-05	528.2578000000001	418.17	429.79900000000004
8	6.42125e-05	8.60519e-05	554.0596000000002	476.371	458.41220000000004
9	8.60519e-05	0.000114397	623.8967000000001	563.935	523.5979
10	0.000114397	0.000151184	711.4554	663.695	623.7459000000001
11	0.000151184	0.000198929	795.1663000000001	760.173	722.3970999999999
12	0.000198929	0.000260896	889.0276	850.308	812.3058
13	0.000260896	0.000341321	968.4112000000001	928.409	889.0672999999998
14	0.000341321	0.000445702	1021.566	985.774	947.0636000000002
15	0.000445702	0.000581173	1045.79	1013.92	977.6635000000002
16	0.000581173	0.000756998	1047.5529999999999	1015.97	984.9623000000003
17	0.000756998	0.000985194	1036.1599999999999	1005.23	980.0616
18	0.000985194	0.00128136	1014.7380000000002	992.162	973.0191000000001
19	0.00128136	0.00166575	981.9053999999999	976.453	964.5626
20	0.00166575	0.00216463	931.0255000000002	943.506	940.0745
21	0.00216463	0.00281211	851.6939999999998	868.755	880.5268
22	0.00281211	0.00365246	725.2711999999998	742.638	764.9268000000002
23	0.00365246	0.00474311	558.5403	583.974	600.0652
24	0.00474311	0.00615864	405.3999	423.466	444.7612000000001
25	0.00615864	0.0079958	277.556	285.19	306.731
26	0.0079958	0.0103802	189.1865	187.735	201.0954
27	0.0103802	0.0134748	139.79659999999998	125.156	136.73819999999998
28	0.0134748	0.0174912	116.41599999999998	125.156	107.80299999999998
29	0.0174912	0.0227039	121.1016	112.883	100.82215999999998
30	0.0227039	0.0294694	128.13	112.883	90.35089999999998
31	0.0294694	inf	128.13	112.883	90.3509
