time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	406.3	0.607641	1082.37
1	2.71271e-06	6.23343e-06	406.3	0.607641	1082.37
2	6.23343e-06	1.08029e-05	406.3	249.845	1082.37
3	1.08029e-05	1.67334e-05	406.3	713.627	1082.37
4	1.67334e-05	2.44304e-05	423.17840000000007	797.07	1194.5759999999998
5	2.44304e-05	3.44201e-05	490.6920000000001	651.522	1643.3999999999999
6	3.44201e-05	4.73853e-05	425.9455000000001	530.108	1027.6975000000002
7	4.73853e-05	6.42125e-05	424.5574000000001	504.954	714.1082
8	6.42125e-05	8.60519e-05	481.69760000000014	537.4	646.508
9	8.60519e-05	0.000114397	561.2521000000002	604.799	682.6391999999998
10	0.000114397	0.000151184	652.7514000000001	696.448	764.3745000000001
11	0.000151184	0.000198929	743.3195	790.7	840.0973
12	0.000198929	0.000260896	837.2927999999998	877.105	915.0468000000001
13	0.000260896	0.000341321	917.7432999999999	954.27	987.1184
14	0.000341321	0.000445702	977.6145999999999	1015.08	1048.89
15	0.000445702	0.000581173	1012.0599999999997	1053.46	1092.225
16	0.000581173	0.000756998	1019.2620000000002	1065.02	1112.288
17	0.000756998	0.000985194	1008.0	1054.36	1107.9180000000001
18	0.000985194	0.00128136	990.7771999999999	1033.88	1088.7469999999998
19	0.00128136	0.00166575	967.6120999999999	1008.36	1056.567
20	0.00166575	0.00216463	926.1964999999999	965.195	1002.7274999999998
21	0.00216463	0.00281211	854.7761999999999	882.405	917.7705999999998
22	0.00281211	0.00365246	733.7821999999999	752.712	784.3121999999997
23	0.00365246	0.00474311	563.7275	588.071	603.2513
24	0.00474311	0.00615864	405.93260000000004	417.15	424.2746
25	0.00615864	0.0079958	279.8275	276.922	274.5895
26	0.0079958	0.0103802	195.80150000000003	187.688	181.14239999999998
27	0.0103802	0.0134748	151.787	146.565	141.9528
28	0.0134748	0.0174912	153.223	146.565	174.27799999999993
29	0.0174912	0.0227039	100.43708000000002	30.3685	108.83712
30	0.0227039	0.0294694	21.258200000000006	30.3685	10.675799999999997
31	0.0294694	inf	21.2582	30.3685	10.6758
