time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	187.20599999999993	21.6158	1058.41
1	2.71271e-06	6.23343e-06	187.20599999999993	21.6158	1058.41
2	6.23343e-06	1.08029e-05	187.20599999999993	143.896	1058.41
3	1.08029e-05	1.67334e-05	187.20599999999993	426.162	1058.41
4	1.67334e-05	2.44304e-05	164.44731999999996	500.641	1180.872
5	2.44304e-05	3.44201e-05	73.4126	378.926	1670.7200000000003
6	3.44201e-05	4.73853e-05	74.86923	247.028	1041.3744999999997
7	4.73853e-05	6.42125e-05	85.64009999999999	185.372	713.9626
8	6.42125e-05	8.60519e-05	115.4196	179.972	634.3333999999999
9	8.60519e-05	0.000114397	185.73010000000005	213.464	670.1252
10	0.000114397	0.000151184	310.03650000000005	271.715	751.1187000000002
11	0.000151184	0.000198929	462.6140999999999	350.598	826.4197
12	0.000198929	0.000260896	574.3648	428.355	901.4978
13	0.000260896	0.000341321	599.5838	487.839	974.3726999999999
14	0.000341321	0.000445702	593.3872000000001	533.034	1040.548
15	0.000445702	0.000581173	599.5989999999999	574.115	1089.71
16	0.000581173	0.000756998	634.9891999999999	616.7	1115.53
17	0.000756998	0.000985194	688.1066	667.094	1119.068
18	0.000985194	0.00128136	754.1986	731.509	1112.447
19	0.00128136	0.00166575	821.4732000000001	809.625	1091.926
20	0.00166575	0.00216463	863.3575000000001	887.975	1044.615
21	0.00216463	0.00281211	858.9704	930.272	961.8518
22	0.00281211	0.00365246	781.3835999999999	885.24	822.7521999999999
23	0.00365246	0.00474311	617.9558000000001	729.785	625.4436000000001
24	0.00474311	0.00615864	445.37239999999997	510.152	429.7413
25	0.00615864	0.0079958	299.257	311.824	269.2375
26	0.0079958	0.0103802	195.88779999999997	185.223	169.37050000000002
27	0.0103802	0.0134748	134.71210000000002	113.282	121.40559999999998
28	0.0134748	0.0174912	104.41500000000003	113.282	112.79200000000002
29	0.0174912	0.0227039	115.74540000000003	115.524	133.39880000000002
30	0.0227039	0.0294694	132.741	115.524	164.30900000000005
31	0.0294694	inf	132.741	115.524	164.309
