dataset	bialsites_avg	sf_avg	sxA_avg	sxB_avg	ss_avg	successive_ss_avg	piA_avg	piB_avg	thetaA_avg	thetaB_avg	DtajA_avg	DtajB_avg	divAB_avg	netdivAB_avg	minDivAB_avg	maxDivAB_avg	Gmin_avg	Gmax_avg	FST_avg	ss_sf	ss_noSf	noSs_sf	noSs_noSf
LG01_180000_185000	110.00000	0.00000	0.00340	0.01042	0.00957	8.00000	0.00546	0.00802	0.00568	0.00875	-0.25229	-0.53891	0.00638	-0.00036	0.00106	0.00936	0.16667	1.46667	-0.03013	0.00000	1.00000	0.00000	0.00000
LG01_1410000_1415000	145.00000	0.00021	0.00820	0.00757	0.01450	6.00000	0.01042	0.00912	0.00994	0.00966	0.31459	-0.36353	0.01038	0.00061	0.00420	0.01786	0.40495	1.72103	0.03278	1.00000	0.00000	0.00000	0.00000
LG01_2750000_2755000	176.00000	0.00000	0.00672	0.01343	0.01567	9.00000	0.01045	0.01233	0.00980	0.01274	0.42404	-0.20982	0.01378	0.00239	0.00224	0.01954	0.16243	1.41756	0.10279	0.00000	1.00000	0.00000	0.00000
LG01_3080000_3085000	192.00000	0.00000	0.00847	0.01488	0.01633	6.00000	0.01093	0.01466	0.01086	0.01367	0.03842	0.47071	0.01416	0.00136	0.00351	0.02294	0.24818	1.62044	0.05496	0.00000	1.00000	0.00000	0.00000
LG01_6630000_6635000	47.00000	0.00000	0.00274	0.00401	0.00317	2.00000	0.00256	0.00279	0.00259	0.00314	-0.06673	-0.72157	0.00278	0.00011	0.00063	0.00633	0.22785	2.27848	0.02108	0.00000	1.00000	0.00000	0.00000
LG01_7095000_7100000	42.00000	0.00000	0.00146	0.00711	0.00021	0.00000	0.00074	0.00300	0.00073	0.00321	0.04995	-0.41292	0.00402	0.00215	0.00042	0.00691	0.10405	1.71676	0.38583	0.00000	1.00000	0.00000	0.00000
LG01_8670000_8675000	75.00000	0.00000	0.00506	0.00527	0.00548	3.00000	0.00393	0.00476	0.00462	0.00471	-0.94542	0.07582	0.00526	0.00091	0.00063	0.01075	0.12027	2.04454	0.10231	0.00000	1.00000	0.00000	0.00000
LG01_9245000_9250000	55.00000	0.00000	0.00374	0.00291	0.00478	2.00000	0.00367	0.00323	0.00373	0.00337	-0.10293	-0.26374	0.00402	0.00057	0.00187	0.00686	0.46552	1.70690	0.08241	0.00000	1.00000	0.00000	0.00000
LG01_9915000_9920000	76.00000	0.00000	0.00395	0.00541	0.00644	9.00000	0.00535	0.00510	0.00455	0.00519	1.12226	-0.11064	0.00528	0.00005	0.00062	0.00977	0.11816	1.85120	0.00552	0.00000	1.00000	0.00000	0.00000
LG01_10430000_10435000	76.00000	0.00000	0.00375	0.01001	0.00209	1.00000	0.00221	0.00521	0.00256	0.00530	-0.85724	-0.10151	0.00564	0.00193	0.00063	0.00918	0.11088	1.62628	0.22095	0.00000	1.00000	0.00000	0.00000
LG01_11425000_11430000	83.00000	0.00000	0.00416	0.00604	0.00708	13.00000	0.00497	0.00548	0.00492	0.00574	0.05887	-0.29316	0.00496	-0.00026	0.00125	0.00791	0.25175	1.59441	-0.02831	0.00000	1.00000	0.00000	0.00000
LG01_14200000_14205000	70.00000	0.00000	0.00186	0.00766	0.00497	3.00000	0.00273	0.00548	0.00299	0.00553	-0.55042	-0.05982	0.00524	0.00113	0.00083	0.00787	0.15824	1.50330	0.13023	0.00000	1.00000	0.00000	0.00000
LG01_15235000_15240000	87.00000	0.00000	0.00190	0.01161	0.00486	3.00000	0.00256	0.00668	0.00296	0.00721	-0.85185	-0.47069	0.00722	0.00260	0.00063	0.01056	0.08766	1.46104	0.23483	0.00000	1.00000	0.00000	0.00000
LG01_15810000_15815000	107.00000	0.00000	0.00314	0.00879	0.01047	11.00000	0.00659	0.00878	0.00596	0.00843	0.67782	0.26309	0.00844	0.00076	0.00167	0.01403	0.19835	1.66116	0.05123	0.00000	1.00000	0.00000	0.00000
LG01_15965000_15970000	122.00000	0.00000	0.00519	0.01724	0.00291	1.00000	0.00345	0.00802	0.00355	0.00883	-0.17930	-0.59041	0.00815	0.00241	0.00145	0.01621	0.17847	1.98867	0.18679	0.00000	1.00000	0.00000	0.00000
LG01_16610000_16615000	64.00000	0.00130	0.00348	0.00630	0.00283	2.00000	0.00272	0.00381	0.00276	0.00400	-0.08341	-0.29887	0.00531	0.00205	0.00239	0.00870	0.45000	1.63636	0.25455	1.00000	0.00000	0.00000	0.00000
LG01_17425000_17430000	62.00000	0.00000	0.00208	0.01020	0.00062	0.00000	0.00135	0.00403	0.00119	0.00474	0.83035	-0.96857	0.00586	0.00318	0.00042	0.01062	0.07101	1.81065	0.39229	0.00000	1.00000	0.00000	0.00000
LG01_17570000_17575000	75.00000	0.00000	0.00333	0.00541	0.00687	5.00000	0.00434	0.00519	0.00447	0.00538	-0.17704	-0.22527	0.00461	-0.00015	0.00083	0.00895	0.18045	1.93985	-0.01778	0.00000	1.00000	0.00000	0.00000
