dataset	sf_avg	sxA_avg	sxB_avg	ss_avg	successive_ss_avg	piA_avg	piB_avg	thetaA_avg	thetaB_avg	DtajA_avg	DtajB_avg	divAB_avg	netdivAB_avg	FST_avg	ss_sf	ss_noSf	noSs_sf	noSs_noSf	allocation	post_proba
LG01_180000_185000	0	0.0034	0.01042	0.00957	8	0.00546	0.00802	0.00568	0.00875	-0.25229	-0.53891	0.00638	-0.00036	-0.03013	0	1	0	0	migration	1
LG01_1410000_1415000	0.00021	0.0082	0.00757	0.0145	6	0.01042	0.00912	0.00994	0.00966	0.31459	-0.36353	0.01038	0.00061	0.03278	1	0	0	0	migration	1
LG01_2750000_2755000	0	0.00672	0.01343	0.01567	9	0.01045	0.01233	0.0098	0.01274	0.42404	-0.20982	0.01378	0.00239	0.10279	0	1	0	0	migration	1
LG01_3080000_3085000	0	0.00847	0.01488	0.01633	6	0.01093	0.01466	0.01086	0.01367	0.03842	0.47071	0.01416	0.00136	0.05496	0	1	0	0	migration	1
LG01_6630000_6635000	0	0.00274	0.00401	0.00317	2	0.00256	0.00279	0.00259	0.00314	-0.06673	-0.72157	0.00278	0.00011	0.02108	0	1	0	0	migration	1
LG01_7095000_7100000	0	0.00146	0.00711	0.00021	0	0.00074	0.003	0.00073	0.00321	0.04995	-0.41292	0.00402	0.00215	0.38583	0	1	0	0	migration	1
LG01_8670000_8675000	0	0.00506	0.00527	0.00548	3	0.00393	0.00476	0.00462	0.00471	-0.94542	0.07582	0.00526	0.00091	0.10231	0	1	0	0	migration	1
LG01_9245000_9250000	0	0.00374	0.00291	0.00478	2	0.00367	0.00323	0.00373	0.00337	-0.10293	-0.26374	0.00402	0.00057	0.08241	0	1	0	0	migration	1
LG01_9915000_9920000	0	0.00395	0.00541	0.00644	9	0.00535	0.0051	0.00455	0.00519	1.12226	-0.11064	0.00528	5e-05	0.00552	0	1	0	0	migration	1
LG01_10430000_10435000	0	0.00375	0.01001	0.00209	1	0.00221	0.00521	0.00256	0.0053	-0.85724	-0.10151	0.00564	0.00193	0.22095	0	1	0	0	migration	1
LG01_11425000_11430000	0	0.00416	0.00604	0.00708	13	0.00497	0.00548	0.00492	0.00574	0.05887	-0.29316	0.00496	-0.00026	-0.02831	0	1	0	0	migration	1
LG01_14200000_14205000	0	0.00186	0.00766	0.00497	3	0.00273	0.00548	0.00299	0.00553	-0.55042	-0.05982	0.00524	0.00113	0.13023	0	1	0	0	migration	1
LG01_15235000_15240000	0	0.0019	0.01161	0.00486	3	0.00256	0.00668	0.00296	0.00721	-0.85185	-0.47069	0.00722	0.0026	0.23483	0	1	0	0	migration	1
LG01_15810000_15815000	0	0.00314	0.00879	0.01047	11	0.00659	0.00878	0.00596	0.00843	0.67782	0.26309	0.00844	0.00076	0.05123	0	1	0	0	migration	1
LG01_15965000_15970000	0	0.00519	0.01724	0.00291	1	0.00345	0.00802	0.00355	0.00883	-0.1793	-0.59041	0.00815	0.00241	0.18679	0	1	0	0	migration	1
LG01_16610000_16615000	0.0013	0.00348	0.0063	0.00283	2	0.00272	0.00381	0.00276	0.004	-0.08341	-0.29887	0.00531	0.00205	0.25455	1	0	0	0	migration	1
LG01_17425000_17430000	0	0.00208	0.0102	0.00062	0	0.00135	0.00403	0.00119	0.00474	0.83035	-0.96857	0.00586	0.00318	0.39229	0	1	0	0	migration	1
LG01_17570000_17575000	0	0.00333	0.00541	0.00687	5	0.00434	0.00519	0.00447	0.00538	-0.17704	-0.22527	0.00461	-0.00015	-0.01778	0	1	0	0	migration	1
LG01_18015000_18020000	0.00126	0.00042	0.0021	0.00063	1	0.00048	0.00101	0.00046	0.0012	0.19651	-0.95942	0.00251	0.00177	0.56493	1	0	0	0	migration	1
LG01_18340000_18345000	0	0.00084	0.00484	0.00442	4	0.00209	0.00418	0.0023	0.00406	-0.58431	0.1979	0.00327	0.00014	0.02344	0	1	0	0	migration	1
LG01_18495000_18500000	0	0.00187	0.00437	0.00521	4	0.00307	0.00425	0.0031	0.0042	-0.06709	0.08067	0.00364	-1e-05	-0.00207	0	1	0	0	migration	1
LG01_19855000_19860000	0	0.00288	0.00041	0.00041	0	0.0013	0.00033	0.00144	0.00036	-0.59482	-0.46983	0.00084	2e-05	0.01208	0	1	0	0	migration	1
LG01_19915000_19920000	0	0.0028	0.00172	0.00194	2	0.00201	0.00167	0.00208	0.00161	-0.19636	0.24	0.00196	0.00012	0.03562	0	1	0	0	migration	1
LG01_20385000_20390000	0	0.00148	0.00906	0.0019	2	0.00134	0.00461	0.00148	0.0048	-0.59482	-0.25536	0.0035	0.00053	0.08854	0	1	0	0	migration	1
LG01_20715000_20720000	0	0.00349	0.01723	0.00349	2	0.0031	0.00951	0.00306	0.00908	0.10365	0.30683	0.00765	0.00134	0.10406	0	1	0	0	migration	1
LG01_21150000_21155000	0.00295	0.00611	0.0118	0.00211	1	0.00334	0.0056	0.0036	0.00609	-0.45306	-0.51311	0.00933	0.00486	0.37185	1	0	0	0	migration	1
LG01_21170000_21175000	0	0.00877	0.0071	0.00877	3	0.00756	0.00668	0.00768	0.00695	-0.10319	-0.24877	0.00873	0.0016	0.10938	0	1	0	0	migration	1
LG01_22060000_22065000	0	0.00252	0.00631	0.00273	1	0.00237	0.00377	0.0023	0.00396	0.18282	-0.30494	0.00329	0.00022	0.03832	0	1	0	0	migration	1
LG01_22610000_22615000	0	0.00377	0.01151	0.00628	7	0.00473	0.00763	0.0044	0.00779	0.48064	-0.13168	0.00728	0.0011	0.08831	0	1	0	0	migration	1
