locusName	L_including_N	L	nSegSite	nsamA	nsamB	mutation_scalar
LG01_180000_185000	4998	4703	110	6	6	0.6629725344032991
LG01_1410000_1415000	4998	4758	145	6	6	0.3216620612846183
LG01_2750000_2755000	4998	4914	176	6	6	0.6554590842022903
LG01_3080000_3085000	4998	4839	192	6	6	0.9087278548613419
LG01_6630000_6635000	4998	4739	47	6	6	1.0936581412531843
LG01_7095000_7100000	4998	4779	42	6	6	1.1570859343571043
LG01_8670000_8675000	4998	4744	75	6	6	1.3865802183029317
LG01_9245000_9250000	4998	4813	55	6	6	1.008269968811176
LG01_9915000_9920000	4998	4810	76	6	6	1.0701372803302698
LG01_10430000_10435000	4998	4794	76	6	6	1.118627875845235
LG01_11425000_11430000	4998	4805	83	6	6	0.9927526218388122
LG01_14200000_14205000	4998	4828	70	6	6	0.9426404559159213
LG01_15235000_15240000	4998	4737	87	6	6	0.8830033955787479
LG01_15810000_15815000	4998	4777	107	6	6	1.2622708144989419
LG01_15965000_15970000	4998	4813	122	6	6	1.0584326538266575
LG01_16610000_16615000	4998	4600	64	6	6	1.1651981240299136
LG01_17425000_17430000	4998	4803	62	6	6	1.0642849670784635
LG01_17570000_17575000	4998	4805	75	6	6	1.0609407880774318
LG01_18015000_18020000	4998	4759	21	6	6	1.0930007819032983
LG01_18340000_18345000	4998	4752	48	6	6	1.0541442261036453
LG01_18495000_18500000	4998	4802	55	6	6	1.0575966090763995
LG01_19855000_19860000	4998	4856	18	6	6	0.7357193802270605
LG01_19915000_19920000	4998	4638	30	6	6	1.0854221678786247
LG01_20385000_20390000	4998	4744	59	6	6	1.3389256675382244
LG01_20715000_20720000	4998	4874	118	6	6	0.7624728122353173
LG01_21150000_21155000	4998	4746	109	6	6	1.4158417845619624
LG01_21170000_21175000	4998	4788	118	6	6	1.0037626117772114
LG01_22060000_22065000	4998	4756	55	6	6	1.3008856314014843
LG01_22610000_22615000	4998	4780	103	6	6	1.1993061942451344
LG01_22665000_22670000	4998	4523	49	6	6	0.9227746312184115
LG01_22940000_22945000	4998	4775	68	6	6	1.2122648878741338
LG01_23365000_23370000	4998	4974	51	6	6	0.16386477105057257
LG01_23660000_23665000	4998	4896	103	6	6	0.609894645313228
LG01_23685000_23690000	4998	4925	52	6	6	0.4092439052513024
LG01_24135000_24140000	4998	4906	68	6	6	0.5580598707972305
LG01_24270000_24275000	4998	4872	73	6	6	0.7223426642229321
LG01_24345000_24350000	4998	4858	67	6	6	0.6684170213057766
LG01_24380000_24385000	4998	4832	75	6	6	0.9434765006661793
LG01_24500000_24505000	4998	4873	82	6	6	0.7102200153441908
LG01_25440000_25445000	4998	4849	63	6	6	0.8197418776279918
LG01_25850000_25855000	4998	4912	101	6	6	0.5593139379226175
LG02_15000_20000	4998	4956	113	6	6	0.30264819959340444
LG02_245000_250000	4998	4837	67	6	6	0.7227901485052893
LG02_540000_545000	4998	4888	114	6	6	0.3827519487772863
LG02_760000_765000	4998	4974	102	6	6	0.18434786743189413
LG02_1550000_1555000	4998	4776	101	6	6	0.8130867878426333
LG02_2000000_2005000	4998	4770	98	6	6	1.2841647363963238
LG02_2085000_2090000	4998	4798	71	6	6	1.0902023543364623
LG02_2770000_2775000	4998	4710	41	6	6	1.0746427934425282
LG02_3180000_3185000	4998	4765	112	6	6	1.0222135292510808
LG02_3640000_3645000	4998	4872	62	6	6	0.6951712098395464
LG02_5905000_5910000	4998	4768	45	6	6	1.216027089250295
LG02_6070000_6075000	4998	4724	76	6	6	1.11931552435022
LG02_6700000_6705000	4998	4842	43	6	6	0.8310284817564751
LG02_6745000_6750000	4998	4788	60	6	6	0.9466833619722961
LG02_6835000_6840000	4998	4850	64	6	6	0.8080372511243795
LG02_7450000_7455000	4998	4818	58	6	6	0.9618694851718558
LG02_7810000_7815000	4998	4804	44	6	6	0.9318346657801461
LG02_7880000_7885000	4998	4774	70	6	6	0.9832382722651756
LG02_7990000_7995000	4998	4826	24	6	6	0.8841173233978596
LG02_9385000_9390000	4998	4795	128	6	6	1.1942899257435862
LG02_10630000_10635000	4998	4752	89	6	6	1.2475985402105114
LG02_10720000_10725000	4998	4742	83	6	6	1.1197536658998666
LG02_10820000_10825000	4998	4732	79	6	6	1.4208580530635107
LG02_11295000_11300000	4998	4814	97	6	6	1.0479820944484322
LG02_12045000_12050000	4998	4835	139	6	6	1.0086879911863051
LG02_12600000_12605000	4998	4817	84	6	6	1.0396216469458521
LG02_12715000_12720000	4998	4836	54	6	6	0.8690685178932153
LG02_12965000_12970000	4998	4795	55	6	6	1.0835139963343983
LG02_13350000_13355000	4998	4606	54	6	6	0.569559978586133
LG02_14045000_14050000	4998	4803	84	6	6	1.0488231635060836
LG02_14505000_14510000	4998	4750	136	6	6	1.3393547856208772
LG02_15065000_15070000	4998	4644	77	6	6	1.2850806744488568
LG02_15085000_15090000	4998	4689	43	6	6	1.2099610029612482
LG02_15335000_15340000	4998	4830	88	6	6	0.9317718741625669
LG02_15820000_15825000	4998	4837	94	6	6	0.796554790946419
LG02_16595000_16600000	4998	4795	85	6	6	1.0948006004628814
LG02_16830000_16835000	4998	4795	84	6	6	1.141619106477331
LG02_16925000_16930000	4998	4782	78	6	6	1.1738068293622648
LG02_16955000_16960000	4998	4751	59	6	6	1.1843290905474446
LG02_18460000_18465000	4998	4858	56	6	6	0.7775216177399616
